"Gemeente";"Gemnr";"Gemeente";"Bev_2020";"van_datum";"tot_datum";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"Cuijk";1684;"Cuijk";25130;"05-08-2020";"18-08-2020";4;15,9;0;0;0;0
"Culemborg";216;"Culemborg";28955;"05-08-2020";"18-08-2020";12;41,4;0;0;1;3,5
"Dalfsen";148;"Dalfsen";28587;"05-08-2020";"18-08-2020";1;3,5;0;0;0;0
"Dantumadiel";1891;"Dantumadiel";18922;"05-08-2020";"18-08-2020";9;47,6;0;0;0;0
"De Bilt";310;"De Bilt";43137;"05-08-2020";"18-08-2020";9;20,9;0;0;0;0
"De Fryske Marren";1940;"De Fryske Marren";51564;"05-08-2020";"18-08-2020";4;7,8;0;0;0;0
"De Ronde Venen";736;"De Ronde Venen";44456;"05-08-2020";"18-08-2020";27;60,7;0;0;0;0
"De Wolden";1690;"De Wolden";24330;"05-08-2020";"18-08-2020";0;0;0;0;0;0
"Delft";503;"Delft";103595;"05-08-2020";"18-08-2020";47;45,4;0;0;0;0
"Delfzijl";10;"Delfzijl";24678;"05-08-2020";"18-08-2020";22;89,1;0;0;0;0
"Den Helder";400;"Den Helder";56296;"05-08-2020";"18-08-2020";5;8,9;0;0;0;0
"Deurne";762;"Deurne";32471;"05-08-2020";"18-08-2020";13;40;1;3,1;0;0
"Deventer";150;"Deventer";100719;"05-08-2020";"18-08-2020";26;25,8;1;1;0;0
"Diemen";384;"Diemen";30780;"05-08-2020";"18-08-2020";45;146,2;0;0;0;0
"Dinkelland";1774;"Dinkelland";26461;"05-08-2020";"18-08-2020";5;18,9;0;0;0;0
"Doesburg";221;"Doesburg";11077;"05-08-2020";"18-08-2020";2;18,1;0;0;0;0
"Doetinchem";222;"Doetinchem";58001;"05-08-2020";"18-08-2020";13;22,4;0;0;0;0
"Dongen";766;"Dongen";26222;"05-08-2020";"18-08-2020";5;19,1;0;0;0;0
"Dordrecht";505;"Dordrecht";119284;"05-08-2020";"18-08-2020";81;67,9;4;3,4;1;0,8
"Drechterland";498;"Drechterland";19719;"05-08-2020";"18-08-2020";1;5,1;0;0;0;0
"Drimmelen";1719;"Drimmelen";27272;"05-08-2020";"18-08-2020";13;47,7;0;0;0;0
"Dronten";303;"Dronten";41555;"05-08-2020";"18-08-2020";3;7,2;0;0;0;0
"Druten";225;"Druten";18926;"05-08-2020";"18-08-2020";0;0;0;0;0;0
"Duiven";226;"Duiven";25126;"05-08-2020";"18-08-2020";1;4;0;0;0;0
"Echt-Susteren";1711;"Echt-Susteren";31610;"05-08-2020";"18-08-2020";8;25,3;0;0;0;0
"Edam-Volendam";385;"Edam-Volendam";36197;"05-08-2020";"18-08-2020";9;24,9;0;0;0;0
"Ede";228;"Ede";117165;"05-08-2020";"18-08-2020";19;16,2;2;1,7;0;0
"Eemnes";317;"Eemnes";9247;"05-08-2020";"18-08-2020";1;10,8;0;0;0;0
"Eersel";770;"Eersel";19313;"05-08-2020";"18-08-2020";3;15,5;0;0;0;0
"Eijsden-Margraten";1903;"Eijsden-Margraten";25768;"05-08-2020";"18-08-2020";0;0;0;0;0;0
"Eindhoven";772;"Eindhoven";234394;"05-08-2020";"18-08-2020";60;25,6;2;0,9;2;0,9
"Elburg";230;"Elburg";23161;"05-08-2020";"18-08-2020";0;0;0;0;0;0
"Emmen";114;"Emmen";107048;"05-08-2020";"18-08-2020";9;8,4;0;0;0;0
"Enkhuizen";388;"Enkhuizen";18591;"05-08-2020";"18-08-2020";0;0;0;0;0;0
"Enschede";153;"Enschede";159640;"05-08-2020";"18-08-2020";51;31,9;1;0,6;0;0
"Epe";232;"Epe";33178;"05-08-2020";"18-08-2020";1;3;0;0;0;0
"Ermelo";233;"Ermelo";27008;"05-08-2020";"18-08-2020";1;3,7;0;0;0;0
"Etten-Leur";777;"Etten-Leur";43878;"05-08-2020";"18-08-2020";13;29,6;1;2,3;0;0
"Geertruidenberg";779;"Geertruidenberg";21544;"05-08-2020";"18-08-2020";2;9,3;0;0;0;0
"Geldrop-Mierlo";1771;"Geldrop-Mierlo";39726;"05-08-2020";"18-08-2020";14;35,2;0;0;0;0
"Gemert-Bakel";1652;"Gemert-Bakel";30723;"05-08-2020";"18-08-2020";7;22,8;0;0;0;0
"Gennep";907;"Gennep";16921;"05-08-2020";"18-08-2020";6;35,5;0;0;0;0
"Gilze en Rijen";784;"Gilze en Rijen";26431;"05-08-2020";"18-08-2020";9;34,1;0;0;0;0
"Goeree-Overflakkee";1924;"Goeree-Overflakkee";50049;"05-08-2020";"18-08-2020";10;20;0;0;0;0
"Goes";664;"Goes";38082;"05-08-2020";"18-08-2020";11;28,9;1;2,6;0;0
"Goirle";785;"Goirle";23904;"05-08-2020";"18-08-2020";3;12,6;0;0;0;0
"Gooise Meren";1942;"Gooise Meren";58055;"05-08-2020";"18-08-2020";24;41,3;1;1,7;0;0
"Gorinchem";512;"Gorinchem";37022;"05-08-2020";"18-08-2020";22;59,4;1;2,7;0;0
"Gouda";513;"Gouda";73427;"05-08-2020";"18-08-2020";119;162,1;0;0;0;0
"Grave";786;"Grave";12436;"05-08-2020";"18-08-2020";1;8;0;0;0;0
"'s-Gravenhage";518;"'s-Gravenhage";545838;"05-08-2020";"18-08-2020";592;108,5;17;3,1;6;1,1
"Groningen";14;"Groningen";232874;"05-08-2020";"18-08-2020";66;28,3;0;0;0;0
"Gulpen-Wittem";1729;"Gulpen-Wittem";14171;"05-08-2020";"18-08-2020";1;7,1;0;0;0;0
"Haaksbergen";158;"Haaksbergen";24311;"05-08-2020";"18-08-2020";2;8,2;0;0;0;0
"Haaren";788;"Haaren";14370;"05-08-2020";"18-08-2020";1;7;0;0;0;0
"Haarlem";392;"Haarlem";162902;"05-08-2020";"18-08-2020";81;49,7;0;0;0;0
"Haarlemmermeer";394;"Haarlemmermeer";156002;"05-08-2020";"18-08-2020";66;42,3;0;0;1;0,6
"Halderberge";1655;"Halderberge";30284;"05-08-2020";"18-08-2020";15;49,5;0;0;0;0
"Hardenberg";160;"Hardenberg";60948;"05-08-2020";"18-08-2020";10;16,4;0;0;0;0
"Harderwijk";243;"Harderwijk";48414;"05-08-2020";"18-08-2020";14;28,9;0;0;0;0
"Hardinxveld-Giessendam";523;"Hardinxveld-Giessendam";18295;"05-08-2020";"18-08-2020";8;43,7;0;0;0;0
"Harlingen";72;"Harlingen";15722;"05-08-2020";"18-08-2020";2;12,7;0;0;0;0
"Hattem";244;"Hattem";12209;"05-08-2020";"18-08-2020";0;0;0;0;0;0
"Heemskerk";396;"Heemskerk";39182;"05-08-2020";"18-08-2020";5;12,8;1;2,6;0;0
"Heemstede";397;"Heemstede";27234;"05-08-2020";"18-08-2020";11;40,4;0;0;0;0
"Heerde";246;"Heerde";18589;"05-08-2020";"18-08-2020";2;10,8;0;0;0;0
"Heerenveen";74;"Heerenveen";50493;"05-08-2020";"18-08-2020";5;9,9;0;0;0;0
"Heerhugowaard";398;"Heerhugowaard";57587;"05-08-2020";"18-08-2020";11;19,1;0;0;0;0
"Heerlen";917;"Heerlen";87086;"05-08-2020";"18-08-2020";6;6,9;0;0;0;0
"Heeze-Leende";1658;"Heeze-Leende";16152;"05-08-2020";"18-08-2020";6;37,1;0;0;0;0
"Heiloo";399;"Heiloo";23968;"05-08-2020";"18-08-2020";0;0;1;4,2;0;0
"Hellendoorn";163;"Hellendoorn";35916;"05-08-2020";"18-08-2020";2;5,6;0;0;0;0
"Hellevoetsluis";530;"Hellevoetsluis";40142;"05-08-2020";"18-08-2020";15;37,4;0;0;0;0
"Helmond";794;"Helmond";92423;"05-08-2020";"18-08-2020";35;37,9;3;3,2;0;0
"Hendrik-Ido-Ambacht";531;"Hendrik-Ido-Ambacht";31202;"05-08-2020";"18-08-2020";16;51,3;1;3,2;0;0
"Hengelo";164;"Hengelo";81140;"05-08-2020";"18-08-2020";9;11,1;1;1,2;0;0
"'s-Hertogenbosch";796;"'s-Hertogenbosch";155111;"05-08-2020";"18-08-2020";62;40;0;0;0;0
"Het Hogeland";1966;"Het Hogeland";47801;"05-08-2020";"18-08-2020";3;6,3;0;0;0;0
"Heumen";252;"Heumen";16454;"05-08-2020";"18-08-2020";4;24,3;0;0;0;0
"Heusden";797;"Heusden";44692;"05-08-2020";"18-08-2020";15;33,6;0;0;1;2,2
"Hillegom";534;"Hillegom";22209;"05-08-2020";"18-08-2020";5;22,5;0;0;0;0
"Hilvarenbeek";798;"Hilvarenbeek";15518;"05-08-2020";"18-08-2020";0;0;0;0;0;0
"Hilversum";402;"Hilversum";90831;"05-08-2020";"18-08-2020";45;49,5;1;1,1;0;0
"Hoeksche Waard";1963;"Hoeksche Waard";87401;"05-08-2020";"18-08-2020";23;26,3;2;2,3;0;0
"Hof van Twente";1735;"Hof van Twente";35017;"05-08-2020";"18-08-2020";5;14,3;0;0;0;0
"Hollands Kroon";1911;"Hollands Kroon";48432;"05-08-2020";"18-08-2020";6;12,4;0;0;0;0
"Hoogeveen";118;"Hoogeveen";55699;"05-08-2020";"18-08-2020";4;7,2;0;0;0;0
"Hoorn";405;"Hoorn";73261;"05-08-2020";"18-08-2020";19;25,9;0;0;0;0
"Horst aan de Maas";1507;"Horst aan de Maas";42429;"05-08-2020";"18-08-2020";7;16,5;0;0;0;0
"Houten";321;"Houten";50146;"05-08-2020";"18-08-2020";10;19,9;0;0;1;2
"Huizen";406;"Huizen";41273;"05-08-2020";"18-08-2020";22;53,3;1;2,4;0;0
"Hulst";677;"Hulst";27556;"05-08-2020";"18-08-2020";5;18,1;0;0;0;0
"IJsselstein";353;"IJsselstein";34109;"05-08-2020";"18-08-2020";20;58,6;0;0;0;0
"Kaag en Braassem";1884;"Kaag en Braassem";27297;"05-08-2020";"18-08-2020";2;7,3;0;0;0;0
"Kampen";166;"Kampen";54319;"05-08-2020";"18-08-2020";6;11;0;0;0;0
"Kapelle";678;"Kapelle";12695;"05-08-2020";"18-08-2020";0;0;0;0;0;0
"Katwijk";537;"Katwijk";65753;"05-08-2020";"18-08-2020";11;16,7;0;0;0;0
"Kerkrade";928;"Kerkrade";45749;"05-08-2020";"18-08-2020";6;13,1;0;0;0;0
"Koggenland";1598;"Koggenland";22749;"05-08-2020";"18-08-2020";3;13,2;0;0;0;0
"Krimpen aan den IJssel";542;"Krimpen aan den IJssel";29526;"05-08-2020";"18-08-2020";15;50,8;0;0;0;0
"Krimpenerwaard";1931;"Krimpenerwaard";56319;"05-08-2020";"18-08-2020";18;32;0;0;0;0
"Laarbeek";1659;"Laarbeek";22523;"05-08-2020";"18-08-2020";3;13,3;0;0;0;0
"Landerd";1685;"Landerd";15730;"05-08-2020";"18-08-2020";2;12,7;0;0;0;0
"Landgraaf";882;"Landgraaf";37445;"05-08-2020";"18-08-2020";3;8;0;0;0;0
"Landsmeer";415;"Landsmeer";11491;"05-08-2020";"18-08-2020";6;52,2;0;0;0;0
"Langedijk";416;"Langedijk";28163;"05-08-2020";"18-08-2020";0;0;0;0;0;0
"Lansingerland";1621;"Lansingerland";62384;"05-08-2020";"18-08-2020";36;57,7;0;0;0;0
"Laren";417;"Laren";11280;"05-08-2020";"18-08-2020";7;62,1;0;0;0;0
"Leeuwarden";80;"Leeuwarden";124084;"05-08-2020";"18-08-2020";18;14,5;0;0;0;0
"Leiden";546;"Leiden";125099;"05-08-2020";"18-08-2020";48;38,4;1;0,8;1;0,8
"Leiderdorp";547;"Leiderdorp";27056;"05-08-2020";"18-08-2020";6;22,2;0;0;0;0
"Leidschendam-Voorburg";1916;"Leidschendam-Voorburg";76534;"05-08-2020";"18-08-2020";42;54,9;1;1,3;4;5,2
"Lelystad";995;"Lelystad";78598;"05-08-2020";"18-08-2020";23;29,3;3;3,8;0;0
"Leudal";1640;"Leudal";35879;"05-08-2020";"18-08-2020";7;19,5;1;2,8;0;0
