"Gemeente";"Gemnr";"Gemeente";"Bev_2020";"van_datum";"tot_datum";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"Coevorden";109;"Coevorden";35297;"29-04-2020";"12-05-2020";2;5,7;0;0;0;0
"Cranendonck";1706;"Cranendonck";21138;"29-04-2020";"12-05-2020";7;33,1;1;4,7;3;14,2
"Cuijk";1684;"Cuijk";25130;"29-04-2020";"12-05-2020";3;11,9;0;0;0;0
"Culemborg";216;"Culemborg";28955;"29-04-2020";"12-05-2020";5;17,3;0;0;0;0
"Dalfsen";148;"Dalfsen";28587;"29-04-2020";"12-05-2020";3;10,5;0;0;0;0
"Dantumadiel";1891;"Dantumadiel";18922;"29-04-2020";"12-05-2020";0;0;0;0;0;0
"De Bilt";310;"De Bilt";43137;"29-04-2020";"12-05-2020";29;67,2;1;2,3;8;18,5
"De Fryske Marren";1940;"De Fryske Marren";51564;"29-04-2020";"12-05-2020";5;9,7;1;1,9;0;0
"De Ronde Venen";736;"De Ronde Venen";44456;"29-04-2020";"12-05-2020";8;18;0;0;0;0
"De Wolden";1690;"De Wolden";24330;"29-04-2020";"12-05-2020";0;0;0;0;1;4,1
"Delft";503;"Delft";103595;"29-04-2020";"12-05-2020";15;14,5;0;0;3;2,9
"Delfzijl";10;"Delfzijl";24678;"29-04-2020";"12-05-2020";1;4,1;1;4,1;0;0
"Den Helder";400;"Den Helder";56296;"29-04-2020";"12-05-2020";1;1,8;0;0;0;0
"Deurne";762;"Deurne";32471;"29-04-2020";"12-05-2020";18;55,4;1;3,1;2;6,2
"Deventer";150;"Deventer";100719;"29-04-2020";"12-05-2020";40;39,7;2;2;4;4
"Diemen";384;"Diemen";30780;"29-04-2020";"12-05-2020";14;45,5;1;3,2;2;6,5
"Dinkelland";1774;"Dinkelland";26461;"29-04-2020";"12-05-2020";2;7,6;1;3,8;0;0
"Doesburg";221;"Doesburg";11077;"29-04-2020";"12-05-2020";6;54,2;1;9;0;0
"Doetinchem";222;"Doetinchem";58001;"29-04-2020";"12-05-2020";8;13,8;1;1,7;1;1,7
"Dongen";766;"Dongen";26222;"29-04-2020";"12-05-2020";5;19,1;0;0;2;7,6
"Dordrecht";505;"Dordrecht";119284;"29-04-2020";"12-05-2020";81;67,9;2;1,7;7;5,9
"Drechterland";498;"Drechterland";19719;"29-04-2020";"12-05-2020";1;5,1;0;0;0;0
"Drimmelen";1719;"Drimmelen";27272;"29-04-2020";"12-05-2020";6;22;0;0;1;3,7
"Dronten";303;"Dronten";41555;"29-04-2020";"12-05-2020";6;14,4;2;4,8;0;0
"Druten";225;"Druten";18926;"29-04-2020";"12-05-2020";4;21,1;0;0;0;0
"Duiven";226;"Duiven";25126;"29-04-2020";"12-05-2020";3;11,9;0;0;0;0
"Echt-Susteren";1711;"Echt-Susteren";31610;"29-04-2020";"12-05-2020";6;19;0;0;0;0
"Edam-Volendam";385;"Edam-Volendam";36197;"29-04-2020";"12-05-2020";10;27,6;2;5,5;0;0
"Ede";228;"Ede";117165;"29-04-2020";"12-05-2020";14;11,9;1;0,9;0;0
"Eemnes";317;"Eemnes";9247;"29-04-2020";"12-05-2020";3;32,4;0;0;0;0
"Eersel";770;"Eersel";19313;"29-04-2020";"12-05-2020";4;20,7;0;0;1;5,2
"Eijsden-Margraten";1903;"Eijsden-Margraten";25768;"29-04-2020";"12-05-2020";15;58,2;1;3,9;3;11,6
"Eindhoven";772;"Eindhoven";234394;"29-04-2020";"12-05-2020";52;22,2;8;3,4;11;4,7
"Elburg";230;"Elburg";23161;"29-04-2020";"12-05-2020";12;51,8;1;4,3;0;0
"Emmen";114;"Emmen";107048;"29-04-2020";"12-05-2020";6;5,6;0;0;0;0
"Enkhuizen";388;"Enkhuizen";18591;"29-04-2020";"12-05-2020";0;0;0;0;0;0
"Enschede";153;"Enschede";159640;"29-04-2020";"12-05-2020";31;19,4;1;0,6;3;1,9
"Epe";232;"Epe";33178;"29-04-2020";"12-05-2020";9;27,1;1;3;3;9
"Ermelo";233;"Ermelo";27008;"29-04-2020";"12-05-2020";20;74,1;1;3,7;7;25,9
"Etten-Leur";777;"Etten-Leur";43878;"29-04-2020";"12-05-2020";15;34,2;0;0;4;9,1
"Geertruidenberg";779;"Geertruidenberg";21544;"29-04-2020";"12-05-2020";3;13,9;0;0;0;0
"Geldrop-Mierlo";1771;"Geldrop-Mierlo";39726;"29-04-2020";"12-05-2020";8;20,1;0;0;2;5
"Gemert-Bakel";1652;"Gemert-Bakel";30723;"29-04-2020";"12-05-2020";10;32,5;2;6,5;0;0
"Gennep";907;"Gennep";16921;"29-04-2020";"12-05-2020";2;11,8;0;0;0;0
"Gilze en Rijen";784;"Gilze en Rijen";26431;"29-04-2020";"12-05-2020";2;7,6;0;0;0;0
"Goeree-Overflakkee";1924;"Goeree-Overflakkee";50049;"29-04-2020";"12-05-2020";7;14;0;0;2;4
"Goes";664;"Goes";38082;"29-04-2020";"12-05-2020";0;0;0;0;1;2,6
"Goirle";785;"Goirle";23904;"29-04-2020";"12-05-2020";2;8,4;1;4,2;0;0
"Gooise Meren";1942;"Gooise Meren";58055;"29-04-2020";"12-05-2020";7;12,1;0;0;0;0
"Gorinchem";512;"Gorinchem";37022;"29-04-2020";"12-05-2020";9;24,3;1;2,7;0;0
"Gouda";513;"Gouda";73427;"29-04-2020";"12-05-2020";13;17,7;3;4,1;4;5,4
"Grave";786;"Grave";12436;"29-04-2020";"12-05-2020";6;48,2;1;8;0;0
"'s-Gravenhage";518;"'s-Gravenhage";545838;"29-04-2020";"12-05-2020";183;33,5;20;3,7;37;6,8
"Groningen";14;"Groningen";232874;"29-04-2020";"12-05-2020";9;3,9;0;0;0;0
"Gulpen-Wittem";1729;"Gulpen-Wittem";14171;"29-04-2020";"12-05-2020";4;28,2;0;0;1;7,1
"Haaksbergen";158;"Haaksbergen";24311;"29-04-2020";"12-05-2020";3;12,3;0;0;2;8,2
"Haaren";788;"Haaren";14370;"29-04-2020";"12-05-2020";8;55,7;1;7;0;0
"Haarlem";392;"Haarlem";162902;"29-04-2020";"12-05-2020";22;13,5;1;0,6;5;3,1
"Haarlemmermeer";394;"Haarlemmermeer";156002;"29-04-2020";"12-05-2020";56;35,9;4;2,6;6;3,8
"Halderberge";1655;"Halderberge";30284;"29-04-2020";"12-05-2020";2;6,6;0;0;0;0
"Hardenberg";160;"Hardenberg";60948;"29-04-2020";"12-05-2020";9;14,8;0;0;0;0
"Harderwijk";243;"Harderwijk";48414;"29-04-2020";"12-05-2020";20;41,3;2;4,1;3;6,2
"Hardinxveld-Giessendam";523;"Hardinxveld-Giessendam";18295;"29-04-2020";"12-05-2020";3;16,4;1;5,5;0;0
"Harlingen";72;"Harlingen";15722;"29-04-2020";"12-05-2020";1;6,4;0;0;0;0
"Hattem";244;"Hattem";12209;"29-04-2020";"12-05-2020";0;0;0;0;0;0
"Heemskerk";396;"Heemskerk";39182;"29-04-2020";"12-05-2020";4;10,2;1;2,6;1;2,6
"Heemstede";397;"Heemstede";27234;"29-04-2020";"12-05-2020";1;3,7;0;0;1;3,7
"Heerde";246;"Heerde";18589;"29-04-2020";"12-05-2020";12;64,6;3;16,1;3;16,1
"Heerenveen";74;"Heerenveen";50493;"29-04-2020";"12-05-2020";6;11,9;0;0;0;0
"Heerhugowaard";398;"Heerhugowaard";57587;"29-04-2020";"12-05-2020";4;6,9;1;1,7;0;0
"Heerlen";917;"Heerlen";87086;"29-04-2020";"12-05-2020";34;39;3;3,4;4;4,6
"Heeze-Leende";1658;"Heeze-Leende";16152;"29-04-2020";"12-05-2020";2;12,4;0;0;0;0
"Heiloo";399;"Heiloo";23968;"29-04-2020";"12-05-2020";3;12,5;0;0;1;4,2
"Hellendoorn";163;"Hellendoorn";35916;"29-04-2020";"12-05-2020";17;47,3;0;0;2;5,6
"Hellevoetsluis";530;"Hellevoetsluis";40142;"29-04-2020";"12-05-2020";5;12,5;0;0;0;0
"Helmond";794;"Helmond";92423;"29-04-2020";"12-05-2020";41;44,4;6;6,5;4;4,3
"Hendrik-Ido-Ambacht";531;"Hendrik-Ido-Ambacht";31202;"29-04-2020";"12-05-2020";12;38,5;1;3,2;1;3,2
"Hengelo";164;"Hengelo";81140;"29-04-2020";"12-05-2020";6;7,4;1;1,2;0;0
"'s-Hertogenbosch";796;"'s-Hertogenbosch";155111;"29-04-2020";"12-05-2020";35;22,6;0;0;6;3,9
"Het Hogeland";1966;"Het Hogeland";47801;"29-04-2020";"12-05-2020";2;4,2;0;0;1;2,1
"Heumen";252;"Heumen";16454;"29-04-2020";"12-05-2020";4;24,3;0;0;1;6,1
"Heusden";797;"Heusden";44692;"29-04-2020";"12-05-2020";7;15,7;1;2,2;3;6,7
"Hillegom";534;"Hillegom";22209;"29-04-2020";"12-05-2020";4;18;0;0;0;0
"Hilvarenbeek";798;"Hilvarenbeek";15518;"29-04-2020";"12-05-2020";4;25,8;0;0;1;6,4
"Hilversum";402;"Hilversum";90831;"29-04-2020";"12-05-2020";30;33;2;2,2;8;8,8
"Hoeksche Waard";1963;"Hoeksche Waard";87401;"29-04-2020";"12-05-2020";39;44,6;2;2,3;3;3,4
"Hof van Twente";1735;"Hof van Twente";35017;"29-04-2020";"12-05-2020";4;11,4;0;0;0;0
"Hollands Kroon";1911;"Hollands Kroon";48432;"29-04-2020";"12-05-2020";3;6,2;0;0;0;0
