"Gemeente";"Gemnr";"Gemeente";"Bev_2020";"van_datum";"tot_datum";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"Castricum";383;"Castricum";35986;"11-11-2020";"24-11-2020";141;391,8;0;0;1;2,8
"Coevorden";109;"Coevorden";35297;"11-11-2020";"24-11-2020";132;374;1;2,8;2;5,7
"Cranendonck";1706;"Cranendonck";21138;"11-11-2020";"24-11-2020";129;610,3;0;0;1;4,7
"Cuijk";1684;"Cuijk";25130;"11-11-2020";"24-11-2020";92;366,1;0;0;0;0
"Culemborg";216;"Culemborg";28955;"11-11-2020";"24-11-2020";141;487;3;10,4;0;0
"Dalfsen";148;"Dalfsen";28587;"11-11-2020";"24-11-2020";88;307,8;0;0;0;0
"Dantumadiel";1891;"Dantumadiel";18922;"11-11-2020";"24-11-2020";34;179,7;0;0;0;0
"De Bilt";310;"De Bilt";43137;"11-11-2020";"24-11-2020";161;373,2;2;4,6;5;11,6
"De Fryske Marren";1940;"De Fryske Marren";51564;"11-11-2020";"24-11-2020";79;153,2;2;3,9;1;1,9
"De Ronde Venen";736;"De Ronde Venen";44456;"11-11-2020";"24-11-2020";195;438,6;5;11,2;1;2,2
"De Wolden";1690;"De Wolden";24330;"11-11-2020";"24-11-2020";55;226,1;0;0;0;0
"Delft";503;"Delft";103595;"11-11-2020";"24-11-2020";498;480,7;8;7,7;10;9,7
"Delfzijl";10;"Delfzijl";24678;"11-11-2020";"24-11-2020";57;231;1;4,1;0;0
"Den Helder";400;"Den Helder";56296;"11-11-2020";"24-11-2020";196;348,2;0;0;1;1,8
"Deurne";762;"Deurne";32471;"11-11-2020";"24-11-2020";136;418,8;0;0;3;9,2
"Deventer";150;"Deventer";100719;"11-11-2020";"24-11-2020";355;352,5;1;1;2;2
"Diemen";384;"Diemen";30780;"11-11-2020";"24-11-2020";143;464,6;4;13;1;3,2
"Dinkelland";1774;"Dinkelland";26461;"11-11-2020";"24-11-2020";173;653,8;1;3,8;2;7,6
"Doesburg";221;"Doesburg";11077;"11-11-2020";"24-11-2020";23;207,6;0;0;0;0
"Doetinchem";222;"Doetinchem";58001;"11-11-2020";"24-11-2020";181;312,1;1;1,7;1;1,7
"Dongen";766;"Dongen";26222;"11-11-2020";"24-11-2020";169;644,5;4;15,3;1;3,8
"Dordrecht";505;"Dordrecht";119284;"11-11-2020";"24-11-2020";655;549,1;5;4,2;7;5,9
"Drechterland";498;"Drechterland";19719;"11-11-2020";"24-11-2020";65;329,6;0;0;0;0
"Drimmelen";1719;"Drimmelen";27272;"11-11-2020";"24-11-2020";109;399,7;2;7,3;2;7,3
"Dronten";303;"Dronten";41555;"11-11-2020";"24-11-2020";162;389,8;3;7,2;1;2,4
"Druten";225;"Druten";18926;"11-11-2020";"24-11-2020";51;269,5;0;0;0;0
"Duiven";226;"Duiven";25126;"11-11-2020";"24-11-2020";155;616,9;0;0;1;4
"Echt-Susteren";1711;"Echt-Susteren";31610;"11-11-2020";"24-11-2020";65;205,6;1;3,2;1;3,2
"Edam-Volendam";385;"Edam-Volendam";36197;"11-11-2020";"24-11-2020";143;395,1;5;13,8;2;5,5
"Ede";228;"Ede";117165;"11-11-2020";"24-11-2020";534;455,8;5;4,3;5;4,3
"Eemnes";317;"Eemnes";9247;"11-11-2020";"24-11-2020";57;616,4;0;0;0;0
"Eersel";770;"Eersel";19313;"11-11-2020";"24-11-2020";146;756;0;0;1;5,2
"Eijsden-Margraten";1903;"Eijsden-Margraten";25768;"11-11-2020";"24-11-2020";64;248,4;1;3,9;1;3,9
"Eindhoven";772;"Eindhoven";234394;"11-11-2020";"24-11-2020";1066;454,8;13;5,5;10;4,3
"Elburg";230;"Elburg";23161;"11-11-2020";"24-11-2020";98;423,1;0;0;2;8,6
"Emmen";114;"Emmen";107048;"11-11-2020";"24-11-2020";326;304,5;0;0;3;2,8
"Enkhuizen";388;"Enkhuizen";18591;"11-11-2020";"24-11-2020";88;473,3;0;0;0;0
"Enschede";153;"Enschede";159640;"11-11-2020";"24-11-2020";866;542,5;11;6,9;11;6,9
"Epe";232;"Epe";33178;"11-11-2020";"24-11-2020";67;201,9;0;0;1;3
"Ermelo";233;"Ermelo";27008;"11-11-2020";"24-11-2020";111;411;0;0;1;3,7
"Etten-Leur";777;"Etten-Leur";43878;"11-11-2020";"24-11-2020";181;412,5;1;2,3;0;0
"Geertruidenberg";779;"Geertruidenberg";21544;"11-11-2020";"24-11-2020";117;543,1;0;0;0;0
"Geldrop-Mierlo";1771;"Geldrop-Mierlo";39726;"11-11-2020";"24-11-2020";237;596,6;2;5;0;0
"Gemert-Bakel";1652;"Gemert-Bakel";30723;"11-11-2020";"24-11-2020";92;299,4;0;0;0;0
"Gennep";907;"Gennep";16921;"11-11-2020";"24-11-2020";94;555,5;0;0;4;23,6
"Gilze en Rijen";784;"Gilze en Rijen";26431;"11-11-2020";"24-11-2020";129;488,1;1;3,8;1;3,8
"Goeree-Overflakkee";1924;"Goeree-Overflakkee";50049;"11-11-2020";"24-11-2020";230;459,5;1;2;3;6
"Goes";664;"Goes";38082;"11-11-2020";"24-11-2020";83;218;2;5,3;0;0
"Goirle";785;"Goirle";23904;"11-11-2020";"24-11-2020";133;556,4;0;0;0;0
"Gooise Meren";1942;"Gooise Meren";58055;"11-11-2020";"24-11-2020";224;385,8;2;3,4;1;1,7
"Gorinchem";512;"Gorinchem";37022;"11-11-2020";"24-11-2020";210;567,2;0;0;0;0
"Gouda";513;"Gouda";73427;"11-11-2020";"24-11-2020";451;614,2;17;23,2;10;13,6
"Grave";786;"Grave";12436;"11-11-2020";"24-11-2020";65;522,7;0;0;3;24,1
"'s-Gravenhage";518;"'s-Gravenhage";545838;"11-11-2020";"24-11-2020";1996;365,7;45;8,2;13;2,4
"Groningen";14;"Groningen";232874;"11-11-2020";"24-11-2020";400;171,8;3;1,3;0;0
"Gulpen-Wittem";1729;"Gulpen-Wittem";14171;"11-11-2020";"24-11-2020";39;275,2;0;0;0;0
"Haaksbergen";158;"Haaksbergen";24311;"11-11-2020";"24-11-2020";152;625,2;1;4,1;4;16,5
"Haaren";788;"Haaren";14370;"11-11-2020";"24-11-2020";74;515;0;0;0;0
"Haarlem";392;"Haarlem";162902;"11-11-2020";"24-11-2020";528;324,1;9;5,5;5;3,1
"Haarlemmermeer";394;"Haarlemmermeer";156002;"11-11-2020";"24-11-2020";640;410,3;4;2,6;2;1,3
"Halderberge";1655;"Halderberge";30284;"11-11-2020";"24-11-2020";169;558,1;2;6,6;0;0
"Hardenberg";160;"Hardenberg";60948;"11-11-2020";"24-11-2020";212;347,8;4;6,6;3;4,9
"Harderwijk";243;"Harderwijk";48414;"11-11-2020";"24-11-2020";170;351,1;4;8,3;0;0
"Hardinxveld-Giessendam";523;"Hardinxveld-Giessendam";18295;"11-11-2020";"24-11-2020";114;623,1;0;0;0;0
"Harlingen";72;"Harlingen";15722;"11-11-2020";"24-11-2020";16;101,8;0;0;0;0
"Hattem";244;"Hattem";12209;"11-11-2020";"24-11-2020";43;352,2;0;0;0;0
"Heemskerk";396;"Heemskerk";39182;"11-11-2020";"24-11-2020";186;474,7;3;7,7;1;2,6
"Heemstede";397;"Heemstede";27234;"11-11-2020";"24-11-2020";99;363,5;1;3,7;0;0
"Heerde";246;"Heerde";18589;"11-11-2020";"24-11-2020";24;129,1;0;0;0;0
"Heerenveen";74;"Heerenveen";50493;"11-11-2020";"24-11-2020";73;144,6;0;0;1;2
"Heerhugowaard";398;"Heerhugowaard";57587;"11-11-2020";"24-11-2020";199;345,6;0;0;0;0
"Heerlen";917;"Heerlen";87086;"11-11-2020";"24-11-2020";280;321,5;2;2,3;2;2,3
"Heeze-Leende";1658;"Heeze-Leende";16152;"11-11-2020";"24-11-2020";74;458,1;0;0;0;0
"Heiloo";399;"Heiloo";23968;"11-11-2020";"24-11-2020";102;425,6;1;4,2;0;0
"Hellendoorn";163;"Hellendoorn";35916;"11-11-2020";"24-11-2020";195;542,9;1;2,8;1;2,8
"Hellevoetsluis";530;"Hellevoetsluis";40142;"11-11-2020";"24-11-2020";181;450,9;3;7,5;2;5
"Helmond";794;"Helmond";92423;"11-11-2020";"24-11-2020";393;425,2;5;5,4;0;0
