"Gemeente";"Gemnr";"Gemeente";"Bev_2020";"van_datum";"tot_datum";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"Castricum";383;"Castricum";35986;"28-10-2020";"10-11-2020";148;411,3;0;0;1;2,8
"Coevorden";109;"Coevorden";35297;"28-10-2020";"10-11-2020";114;323;0;0;3;8,5
"Cranendonck";1706;"Cranendonck";21138;"28-10-2020";"10-11-2020";120;567,7;0;0;0;0
"Cuijk";1684;"Cuijk";25130;"28-10-2020";"10-11-2020";147;585;2;8;4;15,9
"Culemborg";216;"Culemborg";28955;"28-10-2020";"10-11-2020";153;528,4;1;3,5;1;3,5
"Dalfsen";148;"Dalfsen";28587;"28-10-2020";"10-11-2020";116;405,8;0;0;2;7
"Dantumadiel";1891;"Dantumadiel";18922;"28-10-2020";"10-11-2020";40;211,4;0;0;0;0
"De Bilt";310;"De Bilt";43137;"28-10-2020";"10-11-2020";239;554;3;7;0;0
"De Fryske Marren";1940;"De Fryske Marren";51564;"28-10-2020";"10-11-2020";111;215,3;1;1,9;0;0
"De Ronde Venen";736;"De Ronde Venen";44456;"28-10-2020";"10-11-2020";254;571,4;4;9;3;6,7
"De Wolden";1690;"De Wolden";24330;"28-10-2020";"10-11-2020";82;337;0;0;0;0
"Delft";503;"Delft";103595;"28-10-2020";"10-11-2020";581;560,8;4;3,9;6;5,8
"Delfzijl";10;"Delfzijl";24678;"28-10-2020";"10-11-2020";30;121,6;0;0;0;0
"Den Helder";400;"Den Helder";56296;"28-10-2020";"10-11-2020";169;300,2;2;3,6;2;3,6
"Deurne";762;"Deurne";32471;"28-10-2020";"10-11-2020";240;739,1;1;3,1;2;6,2
"Deventer";150;"Deventer";100719;"28-10-2020";"10-11-2020";374;371,3;4;4;3;3
"Diemen";384;"Diemen";30780;"28-10-2020";"10-11-2020";174;565,3;1;3,2;1;3,2
"Dinkelland";1774;"Dinkelland";26461;"28-10-2020";"10-11-2020";188;710,5;1;3,8;4;15,1
"Doesburg";221;"Doesburg";11077;"28-10-2020";"10-11-2020";44;397,2;0;0;0;0
"Doetinchem";222;"Doetinchem";58001;"28-10-2020";"10-11-2020";262;451,7;5;8,6;0;0
"Dongen";766;"Dongen";26222;"28-10-2020";"10-11-2020";259;987,7;2;7,6;3;11,4
"Dordrecht";505;"Dordrecht";119284;"28-10-2020";"10-11-2020";1161;973,3;0;0;14;11,7
"Drechterland";498;"Drechterland";19719;"28-10-2020";"10-11-2020";113;573,1;1;5,1;0;0
"Drimmelen";1719;"Drimmelen";27272;"28-10-2020";"10-11-2020";198;726;2;7,3;0;0
"Dronten";303;"Dronten";41555;"28-10-2020";"10-11-2020";101;243,1;0;0;1;2,4
"Druten";225;"Druten";18926;"28-10-2020";"10-11-2020";106;560,1;0;0;1;5,3
"Duiven";226;"Duiven";25126;"28-10-2020";"10-11-2020";109;433,8;1;4;1;4
"Echt-Susteren";1711;"Echt-Susteren";31610;"28-10-2020";"10-11-2020";115;363,8;0;0;0;0
"Edam-Volendam";385;"Edam-Volendam";36197;"28-10-2020";"10-11-2020";254;701,7;6;16,6;3;8,3
"Ede";228;"Ede";117165;"28-10-2020";"10-11-2020";626;534,3;6;5,1;6;5,1
"Eemnes";317;"Eemnes";9247;"28-10-2020";"10-11-2020";63;681,3;1;10,8;0;0
"Eersel";770;"Eersel";19313;"28-10-2020";"10-11-2020";131;678,3;2;10,4;5;25,9
"Eijsden-Margraten";1903;"Eijsden-Margraten";25768;"28-10-2020";"10-11-2020";105;407,5;0;0;1;3,9
"Eindhoven";772;"Eindhoven";234394;"28-10-2020";"10-11-2020";1299;554,2;9;3,8;14;6
"Elburg";230;"Elburg";23161;"28-10-2020";"10-11-2020";78;336,8;1;4,3;1;4,3
"Emmen";114;"Emmen";107048;"28-10-2020";"10-11-2020";389;363,4;7;6,5;1;0,9
"Enkhuizen";388;"Enkhuizen";18591;"28-10-2020";"10-11-2020";108;580,9;0;0;1;5,4
"Enschede";153;"Enschede";159640;"28-10-2020";"10-11-2020";1152;721,6;11;6,9;15;9,4
"Epe";232;"Epe";33178;"28-10-2020";"10-11-2020";122;367,7;1;3;1;3
"Ermelo";233;"Ermelo";27008;"28-10-2020";"10-11-2020";102;377,7;0;0;1;3,7
"Etten-Leur";777;"Etten-Leur";43878;"28-10-2020";"10-11-2020";272;619,9;5;11,4;0;0
"Geertruidenberg";779;"Geertruidenberg";21544;"28-10-2020";"10-11-2020";99;459,5;1;4,6;0;0
"Geldrop-Mierlo";1771;"Geldrop-Mierlo";39726;"28-10-2020";"10-11-2020";269;677,1;2;5;1;2,5
"Gemert-Bakel";1652;"Gemert-Bakel";30723;"28-10-2020";"10-11-2020";172;559,8;0;0;0;0
"Gennep";907;"Gennep";16921;"28-10-2020";"10-11-2020";90;531,9;1;5,9;0;0
"Gilze en Rijen";784;"Gilze en Rijen";26431;"28-10-2020";"10-11-2020";192;726,4;3;11,4;0;0
"Goeree-Overflakkee";1924;"Goeree-Overflakkee";50049;"28-10-2020";"10-11-2020";311;621,4;6;12;4;8
"Goes";664;"Goes";38082;"28-10-2020";"10-11-2020";135;354,5;2;5,3;1;2,6
"Goirle";785;"Goirle";23904;"28-10-2020";"10-11-2020";174;727,9;0;0;2;8,4
"Gooise Meren";1942;"Gooise Meren";58055;"28-10-2020";"10-11-2020";298;513,3;3;5,2;3;5,2
"Gorinchem";512;"Gorinchem";37022;"28-10-2020";"10-11-2020";252;680,7;1;2,7;4;10,8
"Gouda";513;"Gouda";73427;"28-10-2020";"10-11-2020";503;685;11;15;19;25,9
"Grave";786;"Grave";12436;"28-10-2020";"10-11-2020";121;973;1;8;5;40,2
"'s-Gravenhage";518;"'s-Gravenhage";545838;"28-10-2020";"10-11-2020";3353;614,3;85;15,6;22;4
"Groningen";14;"Groningen";232874;"28-10-2020";"10-11-2020";453;194,5;0;0;1;0,4
"Gulpen-Wittem";1729;"Gulpen-Wittem";14171;"28-10-2020";"10-11-2020";46;324,6;1;7,1;1;7,1
"Haaksbergen";158;"Haaksbergen";24311;"28-10-2020";"10-11-2020";159;654;1;4,1;4;16,5
"Haaren";788;"Haaren";14370;"28-10-2020";"10-11-2020";116;807,2;0;0;1;7
"Haarlem";392;"Haarlem";162902;"28-10-2020";"10-11-2020";651;399,6;8;4,9;8;4,9
"Haarlemmermeer";394;"Haarlemmermeer";156002;"28-10-2020";"10-11-2020";778;498,7;9;5,8;3;1,9
"Halderberge";1655;"Halderberge";30284;"28-10-2020";"10-11-2020";243;802,4;2;6,6;3;9,9
