"Gemeente";"Gemnr";"Gemeente";"Bev_2020";"van_datum";"tot_datum";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"Castricum";383;"Castricum";35986;"30-09-2020";"13-10-2020";93;258,4;2;5,6;1;2,8
"Coevorden";109;"Coevorden";35297;"30-09-2020";"13-10-2020";102;289;1;2,8;0;0
"Cranendonck";1706;"Cranendonck";21138;"30-09-2020";"13-10-2020";102;482,5;0;0;0;0
"Cuijk";1684;"Cuijk";25130;"30-09-2020";"13-10-2020";88;350,2;2;8;0;0
"Culemborg";216;"Culemborg";28955;"30-09-2020";"13-10-2020";123;424,8;0;0;0;0
"Dalfsen";148;"Dalfsen";28587;"30-09-2020";"13-10-2020";118;412,8;1;3,5;0;0
"Dantumadiel";1891;"Dantumadiel";18922;"30-09-2020";"13-10-2020";45;237,8;0;0;0;0
"De Bilt";310;"De Bilt";43137;"30-09-2020";"13-10-2020";244;565,6;2;4,6;0;0
"De Fryske Marren";1940;"De Fryske Marren";51564;"30-09-2020";"13-10-2020";140;271,5;1;1,9;0;0
"De Ronde Venen";736;"De Ronde Venen";44456;"30-09-2020";"13-10-2020";218;490,4;4;9;1;2,2
"De Wolden";1690;"De Wolden";24330;"30-09-2020";"13-10-2020";61;250,7;0;0;0;0
"Delft";503;"Delft";103595;"30-09-2020";"13-10-2020";598;577,2;2;1,9;0;0
"Delfzijl";10;"Delfzijl";24678;"30-09-2020";"13-10-2020";22;89,1;1;4,1;0;0
"Den Helder";400;"Den Helder";56296;"30-09-2020";"13-10-2020";89;158,1;1;1,8;0;0
"Deurne";762;"Deurne";32471;"30-09-2020";"13-10-2020";126;388;4;12,3;1;3,1
"Deventer";150;"Deventer";100719;"30-09-2020";"13-10-2020";325;322,7;1;1;1;1
"Diemen";384;"Diemen";30780;"30-09-2020";"13-10-2020";260;844,7;0;0;1;3,2
"Dinkelland";1774;"Dinkelland";26461;"30-09-2020";"13-10-2020";178;672,7;0;0;0;0
"Doesburg";221;"Doesburg";11077;"30-09-2020";"13-10-2020";64;577,8;2;18,1;0;0
"Doetinchem";222;"Doetinchem";58001;"30-09-2020";"13-10-2020";202;348,3;2;3,4;0;0
"Dongen";766;"Dongen";26222;"30-09-2020";"13-10-2020";97;369,9;2;7,6;0;0
"Dordrecht";505;"Dordrecht";119284;"30-09-2020";"13-10-2020";639;535,7;2;1,7;6;5
"Drechterland";498;"Drechterland";19719;"30-09-2020";"13-10-2020";53;268,8;0;0;0;0
"Drimmelen";1719;"Drimmelen";27272;"30-09-2020";"13-10-2020";72;264;2;7,3;1;3,7
"Dronten";303;"Dronten";41555;"30-09-2020";"13-10-2020";68;163,6;5;12;0;0
"Druten";225;"Druten";18926;"30-09-2020";"13-10-2020";45;237,8;0;0;0;0
"Duiven";226;"Duiven";25126;"30-09-2020";"13-10-2020";112;445,8;2;8;0;0
"Echt-Susteren";1711;"Echt-Susteren";31610;"30-09-2020";"13-10-2020";55;174;2;6,3;0;0
"Edam-Volendam";385;"Edam-Volendam";36197;"30-09-2020";"13-10-2020";282;779,1;6;16,6;0;0
"Ede";228;"Ede";117165;"30-09-2020";"13-10-2020";511;436,1;11;9,4;3;2,6
"Eemnes";317;"Eemnes";9247;"30-09-2020";"13-10-2020";28;302,8;0;0;0;0
"Eersel";770;"Eersel";19313;"30-09-2020";"13-10-2020";119;616,2;1;5,2;1;5,2
"Eijsden-Margraten";1903;"Eijsden-Margraten";25768;"30-09-2020";"13-10-2020";95;368,7;1;3,9;0;0
"Eindhoven";772;"Eindhoven";234394;"30-09-2020";"13-10-2020";933;398;8;3,4;7;3
"Elburg";230;"Elburg";23161;"30-09-2020";"13-10-2020";40;172,7;0;0;0;0
"Emmen";114;"Emmen";107048;"30-09-2020";"13-10-2020";514;480,2;16;14,9;7;6,5
"Enkhuizen";388;"Enkhuizen";18591;"30-09-2020";"13-10-2020";35;188,3;1;5,4;0;0
"Enschede";153;"Enschede";159640;"30-09-2020";"13-10-2020";613;384;1;0,6;1;0,6
"Epe";232;"Epe";33178;"30-09-2020";"13-10-2020";68;205;0;0;0;0
"Ermelo";233;"Ermelo";27008;"30-09-2020";"13-10-2020";41;151,8;0;0;0;0
"Etten-Leur";777;"Etten-Leur";43878;"30-09-2020";"13-10-2020";187;426,2;1;2,3;0;0
"Geertruidenberg";779;"Geertruidenberg";21544;"30-09-2020";"13-10-2020";67;311;1;4,6;0;0
"Geldrop-Mierlo";1771;"Geldrop-Mierlo";39726;"30-09-2020";"13-10-2020";157;395,2;1;2,5;0;0
"Gemert-Bakel";1652;"Gemert-Bakel";30723;"30-09-2020";"13-10-2020";91;296,2;0;0;0;0
"Gennep";907;"Gennep";16921;"30-09-2020";"13-10-2020";39;230,5;0;0;0;0
"Gilze en Rijen";784;"Gilze en Rijen";26431;"30-09-2020";"13-10-2020";103;389,7;0;0;0;0
"Goeree-Overflakkee";1924;"Goeree-Overflakkee";50049;"30-09-2020";"13-10-2020";159;317,7;3;6;0;0
"Goes";664;"Goes";38082;"30-09-2020";"13-10-2020";67;175,9;2;5,3;0;0
"Goirle";785;"Goirle";23904;"30-09-2020";"13-10-2020";112;468,5;0;0;2;8,4
"Gooise Meren";1942;"Gooise Meren";58055;"30-09-2020";"13-10-2020";298;513,3;2;3,4;0;0
"Gorinchem";512;"Gorinchem";37022;"30-09-2020";"13-10-2020";162;437,6;0;0;0;0
"Gouda";513;"Gouda";73427;"30-09-2020";"13-10-2020";418;569,3;7;9,5;1;1,4
"Grave";786;"Grave";12436;"30-09-2020";"13-10-2020";61;490,5;0;0;0;0
"'s-Gravenhage";518;"'s-Gravenhage";545838;"30-09-2020";"13-10-2020";3831;701,9;64;11,7;27;4,9
"Groningen";14;"Groningen";232874;"30-09-2020";"13-10-2020";1173;503,7;6;2,6;0;0
"Gulpen-Wittem";1729;"Gulpen-Wittem";14171;"30-09-2020";"13-10-2020";60;423,4;1;7,1;1;7,1
"Haaksbergen";158;"Haaksbergen";24311;"30-09-2020";"13-10-2020";130;534,7;1;4,1;2;8,2
"Haaren";788;"Haaren";14370;"30-09-2020";"13-10-2020";48;334;0;0;0;0
"Haarlem";392;"Haarlem";162902;"30-09-2020";"13-10-2020";706;433,4;18;11;7;4,3
"Haarlemmermeer";394;"Haarlemmermeer";156002;"30-09-2020";"13-10-2020";844;541;10;6,4;8;5,1
"Halderberge";1655;"Halderberge";30284;"30-09-2020";"13-10-2020";147;485,4;3;9,9;1;3,3
"Hardenberg";160;"Hardenberg";60948;"30-09-2020";"13-10-2020";145;237,9;2;3,3;0;0
"Harderwijk";243;"Harderwijk";48414;"30-09-2020";"13-10-2020";156;322,2;1;2,1;0;0
"Hardinxveld-Giessendam";523;"Hardinxveld-Giessendam";18295;"30-09-2020";"13-10-2020";78;426,3;0;0;0;0
"Harlingen";72;"Harlingen";15722;"30-09-2020";"13-10-2020";30;190,8;0;0;0;0
"Hattem";244;"Hattem";12209;"30-09-2020";"13-10-2020";29;237,5;0;0;0;0
"Heemskerk";396;"Heemskerk";39182;"30-09-2020";"13-10-2020";171;436,4;1;2,6;3;7,7
"Heemstede";397;"Heemstede";27234;"30-09-2020";"13-10-2020";79;290,1;2;7,3;0;0
"Heerde";246;"Heerde";18589;"30-09-2020";"13-10-2020";21;113;0;0;0;0
"Heerenveen";74;"Heerenveen";50493;"30-09-2020";"13-10-2020";128;253,5;2;4;1;2
"Heerhugowaard";398;"Heerhugowaard";57587;"30-09-2020";"13-10-2020";114;198;0;0;0;0
"Heerlen";917;"Heerlen";87086;"30-09-2020";"13-10-2020";105;120,6;1;1,1;0;0
"Heeze-Leende";1658;"Heeze-Leende";16152;"30-09-2020";"13-10-2020";82;507,7;0;0;0;0
"Heiloo";399;"Heiloo";23968;"30-09-2020";"13-10-2020";54;225,3;0;0;0;0
"Hellendoorn";163;"Hellendoorn";35916;"30-09-2020";"13-10-2020";116;323;5;13,9;1;2,8
"Hellevoetsluis";530;"Hellevoetsluis";40142;"30-09-2020";"13-10-2020";161;401,1;2;5;0;0
"Helmond";794;"Helmond";92423;"30-09-2020";"13-10-2020";511;552,9;5;5,4;0;0
"Hendrik-Ido-Ambacht";531;"Hendrik-Ido-Ambacht";31202;"30-09-2020";"13-10-2020";199;637,8;0;0;0;0
"Hengelo";164;"Hengelo";81140;"30-09-2020";"13-10-2020";460;566,9;9;11,1;5;6,2
"'s-Hertogenbosch";796;"'s-Hertogenbosch";155111;"30-09-2020";"13-10-2020";652;420,3;7;4,5;2;1,3
"Het Hogeland";1966;"Het Hogeland";47801;"30-09-2020";"13-10-2020";135;282,4;2;4,2;0;0
"Heumen";252;"Heumen";16454;"30-09-2020";"13-10-2020";119;723,2;1;6,1;2;12,2
"Heusden";797;"Heusden";44692;"30-09-2020";"13-10-2020";197;440,8;1;2,2;1;2,2
"Hillegom";534;"Hillegom";22209;"30-09-2020";"13-10-2020";97;436,8;0;0;0;0
"Hilvarenbeek";798;"Hilvarenbeek";15518;"30-09-2020";"13-10-2020";50;322,2;1;6,4;0;0
"Hilversum";402;"Hilversum";90831;"30-09-2020";"13-10-2020";337;371;0;0;7;7,7
"Hoeksche Waard";1963;"Hoeksche Waard";87401;"30-09-2020";"13-10-2020";511;584,7;3;3,4;3;3,4
"Hof van Twente";1735;"Hof van Twente";35017;"30-09-2020";"13-10-2020";205;585,4;0;0;1;2,9
"Hollands Kroon";1911;"Hollands Kroon";48432;"30-09-2020";"13-10-2020";97;200,3;0;0;0;0
"Hoogeveen";118;"Hoogeveen";55699;"30-09-2020";"13-10-2020";146;262,1;5;9;1;1,8
"Hoorn";405;"Hoorn";73261;"30-09-2020";"13-10-2020";199;271,6;2;2,7;0;0
"Horst aan de Maas";1507;"Horst aan de Maas";42429;"30-09-2020";"13-10-2020";167;393,6;0;0;3;7,1
"Houten";321;"Houten";50146;"30-09-2020";"13-10-2020";166;331;4;8;0;0
"Huizen";406;"Huizen";41273;"30-09-2020";"13-10-2020";188;455,5;3;7,3;1;2,4
"Hulst";677;"Hulst";27556;"30-09-2020";"13-10-2020";60;217,7;1;3,6;0;0
"IJsselstein";353;"IJsselstein";34109;"30-09-2020";"13-10-2020";152;445,6;2;5,9;0;0
"Kaag en Braassem";1884;"Kaag en Braassem";27297;"30-09-2020";"13-10-2020";113;414;0;0;0;0
"Kampen";166;"Kampen";54319;"30-09-2020";"13-10-2020";96;176,7;0;0;0;0
"Kapelle";678;"Kapelle";12695;"30-09-2020";"13-10-2020";20;157,5;0;0;0;0
"Katwijk";537;"Katwijk";65753;"30-09-2020";"13-10-2020";374;568,8;5;7,6;1;1,5
"Kerkrade";928;"Kerkrade";45749;"30-09-2020";"13-10-2020";64;139,9;0;0;1;2,2
"Koggenland";1598;"Koggenland";22749;"30-09-2020";"13-10-2020";62;272,5;0;0;0;0
"Krimpen aan den IJssel";542;"Krimpen aan den IJssel";29526;"30-09-2020";"13-10-2020";273;924,6;2;6,8;2;6,8
"Krimpenerwaard";1931;"Krimpenerwaard";56319;"30-09-2020";"13-10-2020";302;536,2;3;5,3;1;1,8
"Laarbeek";1659;"Laarbeek";22523;"30-09-2020";"13-10-2020";75;333;0;0;0;0
"Landerd";1685;"Landerd";15730;"30-09-2020";"13-10-2020";100;635,7;0;0;0;0
"Landgraaf";882;"Landgraaf";37445;"30-09-2020";"13-10-2020";51;136,2;1;2,7;0;0
"Landsmeer";415;"Landsmeer";11491;"30-09-2020";"13-10-2020";47;409;2;17,4;0;0
"Langedijk";416;"Langedijk";28163;"30-09-2020";"13-10-2020";114;404,8;3;10,7;2;7,1
"Lansingerland";1621;"Lansingerland";62384;"30-09-2020";"13-10-2020";428;686,1;2;3,2;7;11,2
"Laren";417;"Laren";11280;"30-09-2020";"13-10-2020";50;443,3;1;8,9;1;8,9
"Leeuwarden";80;"Leeuwarden";124084;"30-09-2020";"13-10-2020";531;427,9;4;3,2;0;0
"Leiden";546;"Leiden";125099;"30-09-2020";"13-10-2020";612;489,2;4;3,2;2;1,6
"Leiderdorp";547;"Leiderdorp";27056;"30-09-2020";"13-10-2020";160;591,4;2;7,4;0;0
"Leidschendam-Voorburg";1916;"Leidschendam-Voorburg";76534;"30-09-2020";"13-10-2020";389;508,3;6;7,8;4;5,2
"Lelystad";995;"Lelystad";78598;"30-09-2020";"13-10-2020";262;333,3;7;8,9;0;0
"Leudal";1640;"Leudal";35879;"30-09-2020";"13-10-2020";83;231,3;0;0;0;0
"Leusden";327;"Leusden";30401;"30-09-2020";"13-10-2020";120;394,7;1;3,3;1;3,3
"Lingewaard";1705;"Lingewaard";46601;"30-09-2020";"13-10-2020";165;354,1;1;2,1;1;2,1
"Lisse";553;"Lisse";22955;"30-09-2020";"13-10-2020";73;318;2;8,7;0;0
"Lochem";262;"Lochem";33729;"30-09-2020";"13-10-2020";113;335;0;0;0;0
"Loon op Zand";809;"Loon op Zand";23408;"30-09-2020";"13-10-2020";124;529,7;0;0;5;21,4
"Lopik";331;"Lopik";14467;"30-09-2020";"13-10-2020";62;428,6;1;6,9;0;0
"Loppersum";24;"Loppersum";9537;"30-09-2020";"13-10-2020";15;157,3;0;0;0;0
