"Gemeente";"Gemnr";"Gemeente";"Bev_2020";"van_datum";"tot_datum";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"Cuijk";1684;"Cuijk";25130;"27-05-2020";"09-06-2020";0;0;0;0;0;0
"Culemborg";216;"Culemborg";28955;"27-05-2020";"09-06-2020";8;27,6;0;0;0;0
"Dalfsen";148;"Dalfsen";28587;"27-05-2020";"09-06-2020";1;3,5;0;0;0;0
"Dantumadiel";1891;"Dantumadiel";18922;"27-05-2020";"09-06-2020";0;0;0;0;0;0
"De Bilt";310;"De Bilt";43137;"27-05-2020";"09-06-2020";5;11,6;1;2,3;2;4,6
"De Fryske Marren";1940;"De Fryske Marren";51564;"27-05-2020";"09-06-2020";4;7,8;0;0;0;0
"De Ronde Venen";736;"De Ronde Venen";44456;"27-05-2020";"09-06-2020";5;11,2;0;0;2;4,5
"De Wolden";1690;"De Wolden";24330;"27-05-2020";"09-06-2020";3;12,3;0;0;0;0
"Delft";503;"Delft";103595;"27-05-2020";"09-06-2020";8;7,7;0;0;0;0
"Delfzijl";10;"Delfzijl";24678;"27-05-2020";"09-06-2020";1;4,1;0;0;0;0
"Den Helder";400;"Den Helder";56296;"27-05-2020";"09-06-2020";0;0;0;0;0;0
"Deurne";762;"Deurne";32471;"27-05-2020";"09-06-2020";13;40;0;0;1;3,1
"Deventer";150;"Deventer";100719;"27-05-2020";"09-06-2020";13;12,9;1;1;1;1
"Diemen";384;"Diemen";30780;"27-05-2020";"09-06-2020";2;6,5;0;0;0;0
"Dinkelland";1774;"Dinkelland";26461;"27-05-2020";"09-06-2020";2;7,6;1;3,8;0;0
"Doesburg";221;"Doesburg";11077;"27-05-2020";"09-06-2020";0;0;0;0;0;0
"Doetinchem";222;"Doetinchem";58001;"27-05-2020";"09-06-2020";2;3,4;0;0;0;0
"Dongen";766;"Dongen";26222;"27-05-2020";"09-06-2020";4;15,3;0;0;0;0
"Dordrecht";505;"Dordrecht";119284;"27-05-2020";"09-06-2020";59;49,5;1;0,8;9;7,5
"Drechterland";498;"Drechterland";19719;"27-05-2020";"09-06-2020";1;5,1;0;0;0;0
"Drimmelen";1719;"Drimmelen";27272;"27-05-2020";"09-06-2020";1;3,7;0;0;0;0
"Dronten";303;"Dronten";41555;"27-05-2020";"09-06-2020";2;4,8;0;0;0;0
"Druten";225;"Druten";18926;"27-05-2020";"09-06-2020";0;0;0;0;0;0
"Duiven";226;"Duiven";25126;"27-05-2020";"09-06-2020";1;4;0;0;0;0
"Echt-Susteren";1711;"Echt-Susteren";31610;"27-05-2020";"09-06-2020";1;3,2;0;0;0;0
"Edam-Volendam";385;"Edam-Volendam";36197;"27-05-2020";"09-06-2020";12;33,2;0;0;0;0
"Ede";228;"Ede";117165;"27-05-2020";"09-06-2020";3;2,6;0;0;0;0
"Eemnes";317;"Eemnes";9247;"27-05-2020";"09-06-2020";0;0;0;0;0;0
"Eersel";770;"Eersel";19313;"27-05-2020";"09-06-2020";0;0;0;0;0;0
"Eijsden-Margraten";1903;"Eijsden-Margraten";25768;"27-05-2020";"09-06-2020";4;15,5;0;0;0;0
"Eindhoven";772;"Eindhoven";234394;"27-05-2020";"09-06-2020";25;10,7;3;1,3;1;0,4
"Elburg";230;"Elburg";23161;"27-05-2020";"09-06-2020";15;64,8;0;0;0;0
"Emmen";114;"Emmen";107048;"27-05-2020";"09-06-2020";2;1,9;0;0;0;0
"Enkhuizen";388;"Enkhuizen";18591;"27-05-2020";"09-06-2020";0;0;0;0;0;0
"Enschede";153;"Enschede";159640;"27-05-2020";"09-06-2020";4;2,5;0;0;0;0
"Epe";232;"Epe";33178;"27-05-2020";"09-06-2020";4;12,1;0;0;0;0
"Ermelo";233;"Ermelo";27008;"27-05-2020";"09-06-2020";11;40,7;1;3,7;1;3,7
"Etten-Leur";777;"Etten-Leur";43878;"27-05-2020";"09-06-2020";20;45,6;0;0;0;0
"Geertruidenberg";779;"Geertruidenberg";21544;"27-05-2020";"09-06-2020";0;0;0;0;0;0
"Geldrop-Mierlo";1771;"Geldrop-Mierlo";39726;"27-05-2020";"09-06-2020";1;2,5;0;0;0;0
"Gemert-Bakel";1652;"Gemert-Bakel";30723;"27-05-2020";"09-06-2020";14;45,6;0;0;0;0
"Gennep";907;"Gennep";16921;"27-05-2020";"09-06-2020";3;17,7;0;0;0;0
"Gilze en Rijen";784;"Gilze en Rijen";26431;"27-05-2020";"09-06-2020";3;11,4;0;0;0;0
"Goeree-Overflakkee";1924;"Goeree-Overflakkee";50049;"27-05-2020";"09-06-2020";1;2;0;0;0;0
"Goes";664;"Goes";38082;"27-05-2020";"09-06-2020";0;0;0;0;0;0
"Goirle";785;"Goirle";23904;"27-05-2020";"09-06-2020";3;12,6;0;0;0;0
"Gooise Meren";1942;"Gooise Meren";58055;"27-05-2020";"09-06-2020";1;1,7;0;0;0;0
"Gorinchem";512;"Gorinchem";37022;"27-05-2020";"09-06-2020";2;5,4;0;0;0;0
"Gouda";513;"Gouda";73427;"27-05-2020";"09-06-2020";12;16,3;1;1,4;1;1,4
"Grave";786;"Grave";12436;"27-05-2020";"09-06-2020";2;16,1;0;0;0;0
"'s-Gravenhage";518;"'s-Gravenhage";545838;"27-05-2020";"09-06-2020";178;32,6;14;2,6;14;2,6
"Groningen";14;"Groningen";232874;"27-05-2020";"09-06-2020";5;2,1;0;0;0;0
"Gulpen-Wittem";1729;"Gulpen-Wittem";14171;"27-05-2020";"09-06-2020";2;14,1;0;0;0;0
"Haaksbergen";158;"Haaksbergen";24311;"27-05-2020";"09-06-2020";0;0;0;0;0;0
"Haaren";788;"Haaren";14370;"27-05-2020";"09-06-2020";3;20,9;0;0;1;7
"Haarlem";392;"Haarlem";162902;"27-05-2020";"09-06-2020";4;2,5;0;0;2;1,2
"Haarlemmermeer";394;"Haarlemmermeer";156002;"27-05-2020";"09-06-2020";5;3,2;0;0;0;0
"Halderberge";1655;"Halderberge";30284;"27-05-2020";"09-06-2020";2;6,6;1;3,3;1;3,3
"Hardenberg";160;"Hardenberg";60948;"27-05-2020";"09-06-2020";0;0;0;0;0;0
"Harderwijk";243;"Harderwijk";48414;"27-05-2020";"09-06-2020";12;24,8;2;4,1;1;2,1
"Hardinxveld-Giessendam";523;"Hardinxveld-Giessendam";18295;"27-05-2020";"09-06-2020";0;0;0;0;0;0
"Harlingen";72;"Harlingen";15722;"27-05-2020";"09-06-2020";0;0;0;0;0;0
"Hattem";244;"Hattem";12209;"27-05-2020";"09-06-2020";0;0;0;0;0;0
"Heemskerk";396;"Heemskerk";39182;"27-05-2020";"09-06-2020";2;5,1;0;0;0;0
"Heemstede";397;"Heemstede";27234;"27-05-2020";"09-06-2020";0;0;0;0;0;0
"Heerde";246;"Heerde";18589;"27-05-2020";"09-06-2020";1;5,4;0;0;0;0
"Heerenveen";74;"Heerenveen";50493;"27-05-2020";"09-06-2020";2;4;0;0;0;0
"Heerhugowaard";398;"Heerhugowaard";57587;"27-05-2020";"09-06-2020";4;6,9;0;0;0;0
"Heerlen";917;"Heerlen";87086;"27-05-2020";"09-06-2020";10;11,5;0;0;1;1,1
"Heeze-Leende";1658;"Heeze-Leende";16152;"27-05-2020";"09-06-2020";1;6,2;1;6,2;0;0
"Heiloo";399;"Heiloo";23968;"27-05-2020";"09-06-2020";0;0;0;0;0;0
"Hellendoorn";163;"Hellendoorn";35916;"27-05-2020";"09-06-2020";0;0;0;0;0;0
