"Gemeente";"Gemnr";"Gemeente";"Bev_2020";"van_datum";"tot_datum";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"Culemborg";216;"Culemborg";28955;"19-02-2020";"03-03-2020";1;3,5;0;0;0;0
"Dalfsen";148;"Dalfsen";28587;"19-02-2020";"03-03-2020";0;0;1;3,5;0;0
"Dantumadiel";1891;"Dantumadiel";18922;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"De Bilt";310;"De Bilt";43137;"19-02-2020";"03-03-2020";4;9,3;0;0;0;0
"De Fryske Marren";1940;"De Fryske Marren";51564;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"De Ronde Venen";736;"De Ronde Venen";44456;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"De Wolden";1690;"De Wolden";24330;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Delft";503;"Delft";103595;"19-02-2020";"03-03-2020";1;1;0;0;0;0
"Delfzijl";10;"Delfzijl";24678;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Den Helder";400;"Den Helder";56296;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Deurne";762;"Deurne";32471;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Deventer";150;"Deventer";100719;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Diemen";384;"Diemen";30780;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Dinkelland";1774;"Dinkelland";26461;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Doesburg";221;"Doesburg";11077;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Doetinchem";222;"Doetinchem";58001;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Dongen";766;"Dongen";26222;"19-02-2020";"03-03-2020";1;3,8;0;0;0;0
"Dordrecht";505;"Dordrecht";119284;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Drechterland";498;"Drechterland";19719;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Drimmelen";1719;"Drimmelen";27272;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Dronten";303;"Dronten";41555;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Druten";225;"Druten";18926;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Duiven";226;"Duiven";25126;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Echt-Susteren";1711;"Echt-Susteren";31610;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Edam-Volendam";385;"Edam-Volendam";36197;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Ede";228;"Ede";117165;"19-02-2020";"03-03-2020";0;0;0;0;0;0
