"Gemeente";"Gemnr";"Gemeente";"Bev_2020";"van_datum";"tot_datum";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"Capelle aan den IJssel";502;"Capelle aan den IJssel";67122;"14-10-2020";"27-10-2020";617;919,2;12;17,9;5;7,4
"Castricum";383;"Castricum";35986;"14-10-2020";"27-10-2020";201;558,6;0;0;0;0
"Coevorden";109;"Coevorden";35297;"14-10-2020";"27-10-2020";126;357;1;2,8;0;0
"Cranendonck";1706;"Cranendonck";21138;"14-10-2020";"27-10-2020";156;738;0;0;0;0
"Cuijk";1684;"Cuijk";25130;"14-10-2020";"27-10-2020";227;903,3;2;8;0;0
"Culemborg";216;"Culemborg";28955;"14-10-2020";"27-10-2020";232;801,2;4;13,8;2;6,9
"Dalfsen";148;"Dalfsen";28587;"14-10-2020";"27-10-2020";204;713,6;1;3,5;0;0
"Dantumadiel";1891;"Dantumadiel";18922;"14-10-2020";"27-10-2020";26;137,4;0;0;0;0
"De Bilt";310;"De Bilt";43137;"14-10-2020";"27-10-2020";353;818,3;2;4,6;0;0
"De Fryske Marren";1940;"De Fryske Marren";51564;"14-10-2020";"27-10-2020";185;358,8;3;5,8;4;7,8
"De Ronde Venen";736;"De Ronde Venen";44456;"14-10-2020";"27-10-2020";312;701,8;7;15,7;2;4,5
"De Wolden";1690;"De Wolden";24330;"14-10-2020";"27-10-2020";107;439,8;4;16,4;1;4,1
"Delft";503;"Delft";103595;"14-10-2020";"27-10-2020";957;923,8;5;4,8;6;5,8
"Delfzijl";10;"Delfzijl";24678;"14-10-2020";"27-10-2020";44;178,3;0;0;0;0
"Den Helder";400;"Den Helder";56296;"14-10-2020";"27-10-2020";221;392,6;2;3,6;1;1,8
"Deurne";762;"Deurne";32471;"14-10-2020";"27-10-2020";273;840,8;0;0;0;0
"Deventer";150;"Deventer";100719;"14-10-2020";"27-10-2020";532;528,2;0;0;8;7,9
"Diemen";384;"Diemen";30780;"14-10-2020";"27-10-2020";307;997,4;4;13;3;9,7
"Dinkelland";1774;"Dinkelland";26461;"14-10-2020";"27-10-2020";334;1262,2;1;3,8;1;3,8
"Doesburg";221;"Doesburg";11077;"14-10-2020";"27-10-2020";53;478,5;0;0;1;9
"Doetinchem";222;"Doetinchem";58001;"14-10-2020";"27-10-2020";299;515,5;4;6,9;2;3,4
"Dongen";766;"Dongen";26222;"14-10-2020";"27-10-2020";217;827,5;6;22,9;1;3,8
"Dordrecht";505;"Dordrecht";119284;"14-10-2020";"27-10-2020";1225;1027;1;0,8;5;4,2
