"Gemeente";"Gemnr";"Gemeente";"Bev_2020";"van_datum";"tot_datum";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"Cranendonck";1706;"Cranendonck";21138;"02-09-2020";"15-09-2020";1;4,7;0;0;0;0
"Cuijk";1684;"Cuijk";25130;"02-09-2020";"15-09-2020";9;35,8;0;0;0;0
"Culemborg";216;"Culemborg";28955;"02-09-2020";"15-09-2020";24;82,9;0;0;0;0
"Dalfsen";148;"Dalfsen";28587;"02-09-2020";"15-09-2020";9;31,5;0;0;0;0
"Dantumadiel";1891;"Dantumadiel";18922;"02-09-2020";"15-09-2020";7;37;0;0;0;0
"De Bilt";310;"De Bilt";43137;"02-09-2020";"15-09-2020";22;51;1;2,3;0;0
"De Fryske Marren";1940;"De Fryske Marren";51564;"02-09-2020";"15-09-2020";4;7,8;1;1,9;0;0
"De Ronde Venen";736;"De Ronde Venen";44456;"02-09-2020";"15-09-2020";39;87,7;1;2,2;0;0
"De Wolden";1690;"De Wolden";24330;"02-09-2020";"15-09-2020";8;32,9;0;0;0;0
"Delft";503;"Delft";103595;"02-09-2020";"15-09-2020";309;298,3;0;0;0;0
"Delfzijl";10;"Delfzijl";24678;"02-09-2020";"15-09-2020";3;12,2;0;0;0;0
"Den Helder";400;"Den Helder";56296;"02-09-2020";"15-09-2020";6;10,7;1;1,8;0;0
"Deurne";762;"Deurne";32471;"02-09-2020";"15-09-2020";20;61,6;0;0;0;0
"Deventer";150;"Deventer";100719;"02-09-2020";"15-09-2020";31;30,8;0;0;0;0
"Diemen";384;"Diemen";30780;"02-09-2020";"15-09-2020";50;162,4;0;0;0;0
"Dinkelland";1774;"Dinkelland";26461;"02-09-2020";"15-09-2020";3;11,3;0;0;0;0
"Doesburg";221;"Doesburg";11077;"02-09-2020";"15-09-2020";9;81,2;0;0;0;0
"Doetinchem";222;"Doetinchem";58001;"02-09-2020";"15-09-2020";39;67,2;1;1,7;0;0
"Dongen";766;"Dongen";26222;"02-09-2020";"15-09-2020";12;45,8;0;0;0;0
