"Gemeente";"Gemnr";"Gemeente";"Bev_2020";"van_datum";"tot_datum";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"Castricum";383;"Castricum";35986;"15-04-2020";"28-04-2020";18;50;1;2,8;1;2,8
"Coevorden";109;"Coevorden";35297;"15-04-2020";"28-04-2020";12;34;1;2,8;1;2,8
"Cranendonck";1706;"Cranendonck";21138;"15-04-2020";"28-04-2020";17;80,4;3;14,2;13;61,5
"Cuijk";1684;"Cuijk";25130;"15-04-2020";"28-04-2020";24;95,5;1;4;2;8
"Culemborg";216;"Culemborg";28955;"15-04-2020";"28-04-2020";12;41,4;1;3,5;1;3,5
"Dalfsen";148;"Dalfsen";28587;"15-04-2020";"28-04-2020";19;66,5;0;0;0;0
"Dantumadiel";1891;"Dantumadiel";18922;"15-04-2020";"28-04-2020";0;0;0;0;0;0
"De Bilt";310;"De Bilt";43137;"15-04-2020";"28-04-2020";38;88,1;1;2,3;4;9,3
"De Fryske Marren";1940;"De Fryske Marren";51564;"15-04-2020";"28-04-2020";9;17,5;1;1,9;0;0
"De Ronde Venen";736;"De Ronde Venen";44456;"15-04-2020";"28-04-2020";25;56,2;7;15,7;7;15,7
"De Wolden";1690;"De Wolden";24330;"15-04-2020";"28-04-2020";15;61,7;2;8,2;3;12,3
"Delft";503;"Delft";103595;"15-04-2020";"28-04-2020";24;23,2;1;1;3;2,9
"Delfzijl";10;"Delfzijl";24678;"15-04-2020";"28-04-2020";3;12,2;0;0;0;0
"Den Helder";400;"Den Helder";56296;"15-04-2020";"28-04-2020";3;5,3;0;0;1;1,8
"Deurne";762;"Deurne";32471;"15-04-2020";"28-04-2020";23;70,8;2;6,2;3;9,2
"Deventer";150;"Deventer";100719;"15-04-2020";"28-04-2020";78;77,4;3;3;10;9,9
"Diemen";384;"Diemen";30780;"15-04-2020";"28-04-2020";39;126,7;3;9,7;6;19,5
"Dinkelland";1774;"Dinkelland";26461;"15-04-2020";"28-04-2020";8;30,2;0;0;3;11,3
"Doesburg";221;"Doesburg";11077;"15-04-2020";"28-04-2020";9;81,2;2;18,1;1;9
"Doetinchem";222;"Doetinchem";58001;"15-04-2020";"28-04-2020";27;46,6;4;6,9;7;12,1
"Dongen";766;"Dongen";26222;"15-04-2020";"28-04-2020";18;68,6;4;15,3;2;7,6
"Dordrecht";505;"Dordrecht";119284;"15-04-2020";"28-04-2020";78;65,4;11;9,2;8;6,7
"Drechterland";498;"Drechterland";19719;"15-04-2020";"28-04-2020";8;40,6;1;5,1;0;0
"Drimmelen";1719;"Drimmelen";27272;"15-04-2020";"28-04-2020";18;66;0;0;2;7,3
"Dronten";303;"Dronten";41555;"15-04-2020";"28-04-2020";38;91,4;4;9,6;3;7,2
"Druten";225;"Druten";18926;"15-04-2020";"28-04-2020";23;121,5;4;21,1;3;15,9
"Duiven";226;"Duiven";25126;"15-04-2020";"28-04-2020";14;55,7;3;11,9;4;15,9
"Echt-Susteren";1711;"Echt-Susteren";31610;"15-04-2020";"28-04-2020";17;53,8;4;12,7;0;0
"Edam-Volendam";385;"Edam-Volendam";36197;"15-04-2020";"28-04-2020";32;88,4;2;5,5;3;8,3
"Ede";228;"Ede";117165;"15-04-2020";"28-04-2020";52;44,4;2;1,7;6;5,1
"Eemnes";317;"Eemnes";9247;"15-04-2020";"28-04-2020";3;32,4;1;10,8;0;0
"Eersel";770;"Eersel";19313;"15-04-2020";"28-04-2020";10;51,8;4;20,7;2;10,4
"Eijsden-Margraten";1903;"Eijsden-Margraten";25768;"15-04-2020";"28-04-2020";20;77,6;3;11,6;6;23,3
"Eindhoven";772;"Eindhoven";234394;"15-04-2020";"28-04-2020";102;43,5;18;7,7;17;7,3
"Elburg";230;"Elburg";23161;"15-04-2020";"28-04-2020";35;151,1;6;25,9;6;25,9
"Emmen";114;"Emmen";107048;"15-04-2020";"28-04-2020";30;28;4;3,7;3;2,8
"Enkhuizen";388;"Enkhuizen";18591;"15-04-2020";"28-04-2020";4;21,5;0;0;0;0
"Enschede";153;"Enschede";159640;"15-04-2020";"28-04-2020";34;21,3;2;1,3;4;2,5
"Epe";232;"Epe";33178;"15-04-2020";"28-04-2020";38;114,5;3;9;7;21,1
"Ermelo";233;"Ermelo";27008;"15-04-2020";"28-04-2020";28;103,7;1;3,7;3;11,1
"Etten-Leur";777;"Etten-Leur";43878;"15-04-2020";"28-04-2020";39;88,9;2;4,6;1;2,3
"Geertruidenberg";779;"Geertruidenberg";21544;"15-04-2020";"28-04-2020";17;78,9;1;4,6;2;9,3
"Geldrop-Mierlo";1771;"Geldrop-Mierlo";39726;"15-04-2020";"28-04-2020";20;50,3;6;15,1;2;5
"Gemert-Bakel";1652;"Gemert-Bakel";30723;"15-04-2020";"28-04-2020";21;68,4;2;6,5;1;3,3
"Gennep";907;"Gennep";16921;"15-04-2020";"28-04-2020";5;29,5;1;5,9;2;11,8
"Gilze en Rijen";784;"Gilze en Rijen";26431;"15-04-2020";"28-04-2020";17;64,3;0;0;5;18,9
"Goeree-Overflakkee";1924;"Goeree-Overflakkee";50049;"15-04-2020";"28-04-2020";22;44;2;4;5;10
"Goes";664;"Goes";38082;"15-04-2020";"28-04-2020";9;23,6;0;0;2;5,3
"Goirle";785;"Goirle";23904;"15-04-2020";"28-04-2020";8;33,5;1;4,2;2;8,4
"Gooise Meren";1942;"Gooise Meren";58055;"15-04-2020";"28-04-2020";18;31;1;1,7;3;5,2
"Gorinchem";512;"Gorinchem";37022;"15-04-2020";"28-04-2020";23;62,1;0;0;3;8,1
"Gouda";513;"Gouda";73427;"15-04-2020";"28-04-2020";64;87,2;3;4,1;17;23,2
"Grave";786;"Grave";12436;"15-04-2020";"28-04-2020";19;152,8;2;16,1;3;24,1
"'s-Gravenhage";518;"'s-Gravenhage";545838;"15-04-2020";"28-04-2020";424;77,7;31;5,7;86;15,8
"Groningen";14;"Groningen";232874;"15-04-2020";"28-04-2020";18;7,7;2;0,9;1;0,4
"Gulpen-Wittem";1729;"Gulpen-Wittem";14171;"15-04-2020";"28-04-2020";24;169,4;6;42,3;7;49,4
"Haaksbergen";158;"Haaksbergen";24311;"15-04-2020";"28-04-2020";9;37;0;0;3;12,3
"Haaren";788;"Haaren";14370;"15-04-2020";"28-04-2020";6;41,8;0;0;2;13,9
"Haarlem";392;"Haarlem";162902;"15-04-2020";"28-04-2020";24;14,7;5;3,1;5;3,1
"Haarlemmermeer";394;"Haarlemmermeer";156002;"15-04-2020";"28-04-2020";35;22,4;3;1,9;6;3,8
"Halderberge";1655;"Halderberge";30284;"15-04-2020";"28-04-2020";9;29,7;2;6,6;0;0
"Hardenberg";160;"Hardenberg";60948;"15-04-2020";"28-04-2020";31;50,9;0;0;2;3,3
"Harderwijk";243;"Harderwijk";48414;"15-04-2020";"28-04-2020";55;113,6;6;12,4;3;6,2
"Hardinxveld-Giessendam";523;"Hardinxveld-Giessendam";18295;"15-04-2020";"28-04-2020";5;27,3;0;0;0;0
"Harlingen";72;"Harlingen";15722;"15-04-2020";"28-04-2020";5;31,8;0;0;1;6,4
"Hattem";244;"Hattem";12209;"15-04-2020";"28-04-2020";4;32,8;0;0;1;8,2
"Heemskerk";396;"Heemskerk";39182;"15-04-2020";"28-04-2020";6;15,3;0;0;2;5,1
"Heemstede";397;"Heemstede";27234;"15-04-2020";"28-04-2020";2;7,3;0;0;5;18,4
"Heerde";246;"Heerde";18589;"15-04-2020";"28-04-2020";68;365,8;6;32,3;9;48,4
"Heerenveen";74;"Heerenveen";50493;"15-04-2020";"28-04-2020";20;39,6;1;2;9;17,8
"Heerhugowaard";398;"Heerhugowaard";57587;"15-04-2020";"28-04-2020";43;74,7;1;1,7;1;1,7
"Heerlen";917;"Heerlen";87086;"15-04-2020";"28-04-2020";83;95,3;16;18,4;9;10,3
"Heeze-Leende";1658;"Heeze-Leende";16152;"15-04-2020";"28-04-2020";5;31;1;6,2;1;6,2
"Heiloo";399;"Heiloo";23968;"15-04-2020";"28-04-2020";10;41,7;0;0;3;12,5
"Hellendoorn";163;"Hellendoorn";35916;"15-04-2020";"28-04-2020";35;97,4;1;2,8;7;19,5
"Hellevoetsluis";530;"Hellevoetsluis";40142;"15-04-2020";"28-04-2020";8;19,9;0;0;2;5
"Helmond";794;"Helmond";92423;"15-04-2020";"28-04-2020";65;70,3;8;8,7;5;5,4
"Hendrik-Ido-Ambacht";531;"Hendrik-Ido-Ambacht";31202;"15-04-2020";"28-04-2020";8;25,6;0;0;1;3,2
"Hengelo";164;"Hengelo";81140;"15-04-2020";"28-04-2020";11;13,6;2;2,5;9;11,1
"'s-Hertogenbosch";796;"'s-Hertogenbosch";155111;"15-04-2020";"28-04-2020";114;73,5;4;2,6;14;9
"Het Hogeland";1966;"Het Hogeland";47801;"15-04-2020";"28-04-2020";4;8,4;0;0;1;2,1
"Heumen";252;"Heumen";16454;"15-04-2020";"28-04-2020";19;115,5;1;6,1;3;18,2
"Heusden";797;"Heusden";44692;"15-04-2020";"28-04-2020";42;94;1;2,2;6;13,4
"Hillegom";534;"Hillegom";22209;"15-04-2020";"28-04-2020";7;31,5;0;0;1;4,5
"Hilvarenbeek";798;"Hilvarenbeek";15518;"15-04-2020";"28-04-2020";9;58;1;6,4;1;6,4
"Hilversum";402;"Hilversum";90831;"15-04-2020";"28-04-2020";84;92,5;4;4,4;10;11
"Hoeksche Waard";1963;"Hoeksche Waard";87401;"15-04-2020";"28-04-2020";83;95;5;5,7;9;10,3
"Hof van Twente";1735;"Hof van Twente";35017;"15-04-2020";"28-04-2020";6;17,1;1;2,9;1;2,9
"Hollands Kroon";1911;"Hollands Kroon";48432;"15-04-2020";"28-04-2020";8;16,5;0;0;1;2,1
"Hoogeveen";118;"Hoogeveen";55699;"15-04-2020";"28-04-2020";35;62,8;4;7,2;6;10,8
"Hoorn";405;"Hoorn";73261;"15-04-2020";"28-04-2020";20;27,3;3;4,1;1;1,4
"Horst aan de Maas";1507;"Horst aan de Maas";42429;"15-04-2020";"28-04-2020";22;51,9;0;0;6;14,1
"Houten";321;"Houten";50146;"15-04-2020";"28-04-2020";20;39,9;0;0;4;8
"Huizen";406;"Huizen";41273;"15-04-2020";"28-04-2020";48;116,3;0;0;3;7,3
"Hulst";677;"Hulst";27556;"15-04-2020";"28-04-2020";4;14,5;1;3,6;0;0
"IJsselstein";353;"IJsselstein";34109;"15-04-2020";"28-04-2020";39;114,3;1;2,9;6;17,6
"Kaag en Braassem";1884;"Kaag en Braassem";27297;"15-04-2020";"28-04-2020";10;36,6;0;0;0;0
"Kampen";166;"Kampen";54319;"15-04-2020";"28-04-2020";76;139,9;3;5,5;6;11
"Kapelle";678;"Kapelle";12695;"15-04-2020";"28-04-2020";6;47,3;1;7,9;0;0
"Katwijk";537;"Katwijk";65753;"15-04-2020";"28-04-2020";76;115,6;4;6,1;4;6,1
"Kerkrade";928;"Kerkrade";45749;"15-04-2020";"28-04-2020";55;120,2;8;17,5;8;17,5
"Koggenland";1598;"Koggenland";22749;"15-04-2020";"28-04-2020";6;26,4;0;0;2;8,8
"Krimpen aan den IJssel";542;"Krimpen aan den IJssel";29526;"15-04-2020";"28-04-2020";24;81,3;1;3,4;1;3,4
"Krimpenerwaard";1931;"Krimpenerwaard";56319;"15-04-2020";"28-04-2020";35;62,1;4;7,1;2;3,6
"Laarbeek";1659;"Laarbeek";22523;"15-04-2020";"28-04-2020";28;124,3;3;13,3;3;13,3
"Landerd";1685;"Landerd";15730;"15-04-2020";"28-04-2020";28;178;1;6,4;5;31,8
"Landgraaf";882;"Landgraaf";37445;"15-04-2020";"28-04-2020";33;88,1;7;18,7;1;2,7
"Landsmeer";415;"Landsmeer";11491;"15-04-2020";"28-04-2020";5;43,5;0;0;1;8,7
"Langedijk";416;"Langedijk";28163;"15-04-2020";"28-04-2020";6;21,3;0;0;1;3,6
"Lansingerland";1621;"Lansingerland";62384;"15-04-2020";"28-04-2020";33;52,9;4;6,4;3;4,8
"Laren";417;"Laren";11280;"15-04-2020";"28-04-2020";3;26,6;0;0;1;8,9
"Leeuwarden";80;"Leeuwarden";124084;"15-04-2020";"28-04-2020";7;5,6;1;0,8;2;1,6
"Leiden";546;"Leiden";125099;"15-04-2020";"28-04-2020";28;22,4;4;3,2;5;4
"Leiderdorp";547;"Leiderdorp";27056;"15-04-2020";"28-04-2020";6;22,2;1;3,7;2;7,4
"Leidschendam-Voorburg";1916;"Leidschendam-Voorburg";76534;"15-04-2020";"28-04-2020";28;36,6;1;1,3;2;2,6
"Lelystad";995;"Lelystad";78598;"15-04-2020";"28-04-2020";52;66,2;7;8,9;10;12,7
"Leudal";1640;"Leudal";35879;"15-04-2020";"28-04-2020";41;114,3;0;0;7;19,5
"Leusden";327;"Leusden";30401;"15-04-2020";"28-04-2020";11;36,2;1;3,3;0;0
"Lingewaard";1705;"Lingewaard";46601;"15-04-2020";"28-04-2020";29;62,2;1;2,1;5;10,7
"Lisse";553;"Lisse";22955;"15-04-2020";"28-04-2020";5;21,8;0;0;0;0
"Lochem";262;"Lochem";33729;"15-04-2020";"28-04-2020";33;97,8;0;0;6;17,8
"Loon op Zand";809;"Loon op Zand";23408;"15-04-2020";"28-04-2020";10;42,7;1;4,3;0;0
"Lopik";331;"Lopik";14467;"15-04-2020";"28-04-2020";26;179,7;2;13,8;4;27,6
"Loppersum";24;"Loppersum";9537;"15-04-2020";"28-04-2020";0;0;0;0;0;0
"Losser";168;"Losser";22683;"15-04-2020";"28-04-2020";5;22;0;0;0;0
"Maasdriel";263;"Maasdriel";25030;"15-04-2020";"28-04-2020";11;43,9;0;0;1;4
"Maasgouw";1641;"Maasgouw";23965;"15-04-2020";"28-04-2020";37;154,4;4;16,7;2;8,3
"Maassluis";556;"Maassluis";33213;"15-04-2020";"28-04-2020";9;27,1;3;9;2;6
"Maastricht";935;"Maastricht";121575;"15-04-2020";"28-04-2020";164;134,9;24;19,7;43;35,4
"Medemblik";420;"Medemblik";45101;"15-04-2020";"28-04-2020";18;39,9;1;2,2;0;0
"Meerssen";938;"Meerssen";18828;"15-04-2020";"28-04-2020";15;79,7;5;26,6;4;21,2
"Meierijstad";1948;"Meierijstad";81194;"15-04-2020";"28-04-2020";96;118,2;7;8,6;16;19,7
"Meppel";119;"Meppel";33920;"15-04-2020";"28-04-2020";6;17,7;0;0;0;0
"Middelburg";687;"Middelburg";48822;"15-04-2020";"28-04-2020";12;24,6;1;2;0;0
"Midden-Delfland";1842;"Midden-Delfland";19341;"15-04-2020";"28-04-2020";3;15,5;0;0;0;0
"Midden-Drenthe";1731;"Midden-Drenthe";33185;"15-04-2020";"28-04-2020";3;9;0;0;0;0
"Midden-Groningen";1952;"Midden-Groningen";60797;"15-04-2020";"28-04-2020";5;8,2;0;0;1;1,6
"Mill en Sint Hubert";815;"Mill en Sint Hubert";10939;"15-04-2020";"28-04-2020";10;91,4;0;0;1;9,1
"Moerdijk";1709;"Moerdijk";37129;"15-04-2020";"28-04-2020";23;61,9;0;0;3;8,1
"Molenlanden";1978;"Molenlanden";43909;"15-04-2020";"28-04-2020";25;56,9;1;2,3;2;4,6
"Montferland";1955;"Montferland";36011;"15-04-2020";"28-04-2020";32;88,9;4;11,1;1;2,8
"Montfoort";335;"Montfoort";13917;"15-04-2020";"28-04-2020";4;28,7;0;0;0;0
"Mook en Middelaar";944;"Mook en Middelaar";7847;"15-04-2020";"28-04-2020";6;76,5;0;0;2;25,5
"Neder-Betuwe";1740;"Neder-Betuwe";24339;"15-04-2020";"28-04-2020";41;168,5;0;0;4;16,4
"Nederweert";946;"Nederweert";17019;"15-04-2020";"28-04-2020";11;64,6;3;17,6;2;11,8
"Nieuwegein";356;"Nieuwegein";63462;"15-04-2020";"28-04-2020";32;50,4;2;3,2;3;4,7
"Nieuwkoop";569;"Nieuwkoop";28811;"15-04-2020";"28-04-2020";10;34,7;1;3,5;0;0
"Nijkerk";267;"Nijkerk";43171;"15-04-2020";"28-04-2020";7;16,2;1;2,3;1;2,3
"Nijmegen";268;"Nijmegen";177659;"15-04-2020";"28-04-2020";85;47,8;6;3,4;15;8,4
"Nissewaard";1930;"Nissewaard";85219;"15-04-2020";"28-04-2020";38;44,6;8;9,4;5;5,9
"Noardeast-Fryslân";1970;"Noardeast-Fryslân";45228;"15-04-2020";"28-04-2020";0;0;0;0;1;2,2
"Noord-Beveland";1695;"Noord-Beveland";7392;"15-04-2020";"28-04-2020";1;13,5;0;0;0;0
"Noordenveld";1699;"Noordenveld";31253;"15-04-2020";"28-04-2020";2;6,4;0;0;0;0
"Noordoostpolder";171;"Noordoostpolder";47291;"15-04-2020";"28-04-2020";32;67,7;3;6,3;4;8,5
"Noordwijk";575;"Noordwijk";43508;"15-04-2020";"28-04-2020";11;25,3;2;4,6;1;2,3
"Nuenen, Gerwen en Nederwetten";820;"Nuenen, Gerwen en Nederwetten";23383;"15-04-2020";"28-04-2020";7;29,9;0;0;2;8,6
"Nunspeet";302;"Nunspeet";27851;"15-04-2020";"28-04-2020";67;240,6;0;0;5;18
"Oegstgeest";579;"Oegstgeest";24840;"15-04-2020";"28-04-2020";9;36,2;2;8,1;2;8,1
"Oirschot";823;"Oirschot";18714;"15-04-2020";"28-04-2020";18;96,2;0;0;2;10,7
"Oisterwijk";824;"Oisterwijk";26245;"15-04-2020";"28-04-2020";10;38,1;1;3,8;1;3,8
"Oldambt";1895;"Oldambt";38209;"15-04-2020";"28-04-2020";6;15,7;4;10,5;0;0
"Oldebroek";269;"Oldebroek";23646;"15-04-2020";"28-04-2020";53;224,1;1;4,2;3;12,7
"Oldenzaal";173;"Oldenzaal";31836;"15-04-2020";"28-04-2020";9;28,3;0;0;0;0
"Olst-Wijhe";1773;"Olst-Wijhe";18252;"15-04-2020";"28-04-2020";11;60,3;0;0;3;16,4
"Ommen";175;"Ommen";18009;"15-04-2020";"28-04-2020";16;88,8;0;0;0;0
"Oost Gelre";1586;"Oost Gelre";29627;"15-04-2020";"28-04-2020";11;37,1;1;3,4;0;0
"Oosterhout";826;"Oosterhout";55982;"15-04-2020";"28-04-2020";25;44,7;5;8,9;3;5,4
"Ooststellingwerf";85;"Ooststellingwerf";25469;"15-04-2020";"28-04-2020";5;19,6;1;3,9;0;0
"Oostzaan";431;"Oostzaan";9735;"15-04-2020";"28-04-2020";6;61,6;1;10,3;0;0
"Opmeer";432;"Opmeer";11836;"15-04-2020";"28-04-2020";3;25,3;0;0;0;0
"Opsterland";86;"Opsterland";29733;"15-04-2020";"28-04-2020";5;16,8;1;3,4;0;0
"Oss";828;"Oss";91915;"15-04-2020";"28-04-2020";82;89,2;4;4,4;9;9,8
"Oude IJsselstreek";1509;"Oude IJsselstreek";39388;"15-04-2020";"28-04-2020";24;60,9;2;5,1;5;12,7
"Ouder-Amstel";437;"Ouder-Amstel";14026;"15-04-2020";"28-04-2020";8;57;0;0;0;0
"Oudewater";589;"Oudewater";10230;"15-04-2020";"28-04-2020";6;58,7;0;0;1;9,8
"Overbetuwe";1734;"Overbetuwe";47906;"15-04-2020";"28-04-2020";15;31,3;1;2,1;2;4,2
"Papendrecht";590;"Papendrecht";32136;"15-04-2020";"28-04-2020";10;31,1;0;0;0;0
"Peel en Maas";1894;"Peel en Maas";43425;"15-04-2020";"28-04-2020";31;71,4;4;9,2;4;9,2
"Pekela";765;"Pekela";12196;"15-04-2020";"28-04-2020";1;8,2;0;0;0;0
"Pijnacker-Nootdorp";1926;"Pijnacker-Nootdorp";55308;"15-04-2020";"28-04-2020";39;70,5;2;3,6;5;9
"Purmerend";439;"Purmerend";81249;"15-04-2020";"28-04-2020";53;65,2;3;3,7;15;18,5
"Putten";273;"Putten";24112;"15-04-2020";"28-04-2020";4;16,6;0;0;0;0
"Raalte";177;"Raalte";37712;"15-04-2020";"28-04-2020";75;198,9;1;2,7;10;26,5
"Reimerswaal";703;"Reimerswaal";22730;"15-04-2020";"28-04-2020";6;26,4;0;0;0;0
"Renkum";274;"Renkum";31419;"15-04-2020";"28-04-2020";18;57,3;0;0;4;12,7
"Renswoude";339;"Renswoude";5444;"15-04-2020";"28-04-2020";7;128,6;0;0;0;0
"Reusel-De Mierden";1667;"Reusel-De Mierden";13112;"15-04-2020";"28-04-2020";3;22,9;0;0;0;0
"Rheden";275;"Rheden";43761;"15-04-2020";"28-04-2020";10;22,9;1;2,3;0;0
"Rhenen";340;"Rhenen";20119;"15-04-2020";"28-04-2020";8;39,8;4;19,9;0;0
"Ridderkerk";597;"Ridderkerk";46189;"15-04-2020";"28-04-2020";29;62,8;5;10,8;2;4,3
"Rijssen-Holten";1742;"Rijssen-Holten";38177;"15-04-2020";"28-04-2020";62;162,4;4;10,5;8;21
"Rijswijk";603;"Rijswijk";54450;"15-04-2020";"28-04-2020";41;75,3;8;14,7;10;18,4
"Roerdalen";1669;"Roerdalen";20574;"15-04-2020";"28-04-2020";7;34;1;4,9;1;4,9
"Roermond";957;"Roermond";58260;"15-04-2020";"28-04-2020";17;29,2;6;10,3;1;1,7
"Roosendaal";1674;"Roosendaal";77251;"15-04-2020";"28-04-2020";60;77,7;5;6,5;4;5,2
"Rotterdam";599;"Rotterdam";651157;"15-04-2020";"28-04-2020";573;88;80;12,3;125;19,2
"Rozendaal";277;"Rozendaal";1704;"15-04-2020";"28-04-2020";1;58,7;0;0;0;0
"Rucphen";840;"Rucphen";22878;"15-04-2020";"28-04-2020";18;78,7;0;0;1;4,4
