"Gemeente";"Gemnr";"Gemeente";"Bev_2020";"van_datum";"tot_datum";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"Cuijk";1684;"Cuijk";25130;"22-07-2020";"04-08-2020";0;0;0;0;0;0
"Culemborg";216;"Culemborg";28955;"22-07-2020";"04-08-2020";3;10,4;0;0;0;0
"Dalfsen";148;"Dalfsen";28587;"22-07-2020";"04-08-2020";1;3,5;0;0;0;0
"Dantumadiel";1891;"Dantumadiel";18922;"22-07-2020";"04-08-2020";0;0;0;0;0;0
"De Bilt";310;"De Bilt";43137;"22-07-2020";"04-08-2020";5;11,6;1;2,3;0;0
"De Fryske Marren";1940;"De Fryske Marren";51564;"22-07-2020";"04-08-2020";5;9,7;0;0;0;0
"De Ronde Venen";736;"De Ronde Venen";44456;"22-07-2020";"04-08-2020";6;13,5;0;0;0;0
"De Wolden";1690;"De Wolden";24330;"22-07-2020";"04-08-2020";0;0;0;0;0;0
"Delft";503;"Delft";103595;"22-07-2020";"04-08-2020";30;29;0;0;0;0
"Delfzijl";10;"Delfzijl";24678;"22-07-2020";"04-08-2020";0;0;0;0;0;0
"Den Helder";400;"Den Helder";56296;"22-07-2020";"04-08-2020";3;5,3;0;0;0;0
"Deurne";762;"Deurne";32471;"22-07-2020";"04-08-2020";3;9,2;0;0;0;0
"Deventer";150;"Deventer";100719;"22-07-2020";"04-08-2020";7;7;0;0;0;0
"Diemen";384;"Diemen";30780;"22-07-2020";"04-08-2020";11;35,7;0;0;0;0
"Dinkelland";1774;"Dinkelland";26461;"22-07-2020";"04-08-2020";1;3,8;0;0;0;0
"Doesburg";221;"Doesburg";11077;"22-07-2020";"04-08-2020";0;0;0;0;0;0
"Doetinchem";222;"Doetinchem";58001;"22-07-2020";"04-08-2020";1;1,7;0;0;0;0
"Dongen";766;"Dongen";26222;"22-07-2020";"04-08-2020";2;7,6;0;0;0;0
"Dordrecht";505;"Dordrecht";119284;"22-07-2020";"04-08-2020";31;26;2;1,7;0;0
"Drechterland";498;"Drechterland";19719;"22-07-2020";"04-08-2020";0;0;0;0;0;0
"Drimmelen";1719;"Drimmelen";27272;"22-07-2020";"04-08-2020";2;7,3;0;0;0;0
"Dronten";303;"Dronten";41555;"22-07-2020";"04-08-2020";0;0;0;0;0;0
"Druten";225;"Druten";18926;"22-07-2020";"04-08-2020";0;0;0;0;0;0
"Duiven";226;"Duiven";25126;"22-07-2020";"04-08-2020";2;8;0;0;0;0
"Echt-Susteren";1711;"Echt-Susteren";31610;"22-07-2020";"04-08-2020";1;3,2;0;0;0;0
"Edam-Volendam";385;"Edam-Volendam";36197;"22-07-2020";"04-08-2020";0;0;0;0;0;0
"Ede";228;"Ede";117165;"22-07-2020";"04-08-2020";18;15,4;0;0;0;0
"Eemnes";317;"Eemnes";9247;"22-07-2020";"04-08-2020";1;10,8;0;0;0;0
"Eersel";770;"Eersel";19313;"22-07-2020";"04-08-2020";0;0;0;0;0;0
"Eijsden-Margraten";1903;"Eijsden-Margraten";25768;"22-07-2020";"04-08-2020";4;15,5;0;0;0;0
"Eindhoven";772;"Eindhoven";234394;"22-07-2020";"04-08-2020";41;17,5;1;0,4;0;0
"Elburg";230;"Elburg";23161;"22-07-2020";"04-08-2020";0;0;0;0;0;0
"Emmen";114;"Emmen";107048;"22-07-2020";"04-08-2020";2;1,9;0;0;0;0
"Enkhuizen";388;"Enkhuizen";18591;"22-07-2020";"04-08-2020";2;10,8;0;0;0;0
"Enschede";153;"Enschede";159640;"22-07-2020";"04-08-2020";10;6,3;1;0,6;0;0
"Epe";232;"Epe";33178;"22-07-2020";"04-08-2020";0;0;0;0;0;0
"Ermelo";233;"Ermelo";27008;"22-07-2020";"04-08-2020";1;3,7;0;0;0;0
"Etten-Leur";777;"Etten-Leur";43878;"22-07-2020";"04-08-2020";11;25,1;1;2,3;0;0
"Geertruidenberg";779;"Geertruidenberg";21544;"22-07-2020";"04-08-2020";6;27,8;0;0;0;0
