"Gemeente";"Gemnr";"Gemeente";"Bev_2020";"van_datum";"tot_datum";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"Capelle aan den IJssel";502;"Capelle aan den IJssel";67122;"18-03-2020";"31-03-2020";58;86,4;23;34,3;6;8,9
"Castricum";383;"Castricum";35986;"18-03-2020";"31-03-2020";19;52,8;9;25;5;13,9
"Coevorden";109;"Coevorden";35297;"18-03-2020";"31-03-2020";12;34;7;19,8;0;0
"Cranendonck";1706;"Cranendonck";21138;"18-03-2020";"31-03-2020";61;288,6;45;212,9;5;23,7
"Cuijk";1684;"Cuijk";25130;"18-03-2020";"31-03-2020";18;71,6;7;27,9;5;19,9
"Culemborg";216;"Culemborg";28955;"18-03-2020";"31-03-2020";22;76;15;51,8;4;13,8
"Dalfsen";148;"Dalfsen";28587;"18-03-2020";"31-03-2020";15;52,5;8;28;2;7
"Dantumadiel";1891;"Dantumadiel";18922;"18-03-2020";"31-03-2020";3;15,9;1;5,3;0;0
"De Bilt";310;"De Bilt";43137;"18-03-2020";"31-03-2020";33;76,5;14;32,5;1;2,3
"De Fryske Marren";1940;"De Fryske Marren";51564;"18-03-2020";"31-03-2020";18;34,9;8;15,5;3;5,8
"De Ronde Venen";736;"De Ronde Venen";44456;"18-03-2020";"31-03-2020";26;58,5;18;40,5;1;2,2
"De Wolden";1690;"De Wolden";24330;"18-03-2020";"31-03-2020";7;28,8;2;8,2;1;4,1
"Delft";503;"Delft";103595;"18-03-2020";"31-03-2020";38;36,7;22;21,2;2;1,9
"Delfzijl";10;"Delfzijl";24678;"18-03-2020";"31-03-2020";9;36,5;4;16,2;0;0
"Den Helder";400;"Den Helder";56296;"18-03-2020";"31-03-2020";12;21,3;6;10,7;0;0
"Deurne";762;"Deurne";32471;"18-03-2020";"31-03-2020";58;178,6;32;98,5;6;18,5
"Deventer";150;"Deventer";100719;"18-03-2020";"31-03-2020";58;57,6;22;21,8;17;16,9
"Diemen";384;"Diemen";30780;"18-03-2020";"31-03-2020";13;42,2;6;19,5;2;6,5
"Dinkelland";1774;"Dinkelland";26461;"18-03-2020";"31-03-2020";32;120,9;14;52,9;3;11,3
"Doesburg";221;"Doesburg";11077;"18-03-2020";"31-03-2020";6;54,2;3;27,1;2;18,1
"Doetinchem";222;"Doetinchem";58001;"18-03-2020";"31-03-2020";28;48,3;14;24,1;4;6,9
"Dongen";766;"Dongen";26222;"18-03-2020";"31-03-2020";28;106,8;11;41,9;5;19,1
"Dordrecht";505;"Dordrecht";119284;"18-03-2020";"31-03-2020";58;48,6;36;30,2;4;3,4
"Drechterland";498;"Drechterland";19719;"18-03-2020";"31-03-2020";9;45,6;2;10,1;1;5,1
"Drimmelen";1719;"Drimmelen";27272;"18-03-2020";"31-03-2020";19;69,7;8;29,3;2;7,3
"Dronten";303;"Dronten";41555;"18-03-2020";"31-03-2020";13;31,3;12;28,9;2;4,8
"Druten";225;"Druten";18926;"18-03-2020";"31-03-2020";16;84,5;11;58,1;2;10,6
"Duiven";226;"Duiven";25126;"18-03-2020";"31-03-2020";6;23,9;5;19,9;0;0
"Echt-Susteren";1711;"Echt-Susteren";31610;"18-03-2020";"31-03-2020";29;91,7;17;53,8;5;15,8
