"Gemeente";"Gemnr";"Gemeente";"Bev_2020";"van_datum";"tot_datum";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"Cuijk";1684;"Cuijk";25130;"10-06-2020";"23-06-2020";8;31,8;0;0;0;0
"Culemborg";216;"Culemborg";28955;"10-06-2020";"23-06-2020";2;6,9;0;0;0;0
"Dalfsen";148;"Dalfsen";28587;"10-06-2020";"23-06-2020";1;3,5;0;0;0;0
"Dantumadiel";1891;"Dantumadiel";18922;"10-06-2020";"23-06-2020";0;0;0;0;0;0
"De Bilt";310;"De Bilt";43137;"10-06-2020";"23-06-2020";3;7;0;0;1;2,3
"De Fryske Marren";1940;"De Fryske Marren";51564;"10-06-2020";"23-06-2020";1;1,9;0;0;0;0
"De Ronde Venen";736;"De Ronde Venen";44456;"10-06-2020";"23-06-2020";1;2,2;0;0;0;0
"De Wolden";1690;"De Wolden";24330;"10-06-2020";"23-06-2020";0;0;0;0;0;0
"Delft";503;"Delft";103595;"10-06-2020";"23-06-2020";5;4,8;0;0;0;0
"Delfzijl";10;"Delfzijl";24678;"10-06-2020";"23-06-2020";0;0;0;0;0;0
"Den Helder";400;"Den Helder";56296;"10-06-2020";"23-06-2020";2;3,6;0;0;0;0
"Deurne";762;"Deurne";32471;"10-06-2020";"23-06-2020";3;9,2;0;0;0;0
"Deventer";150;"Deventer";100719;"10-06-2020";"23-06-2020";33;32,8;0;0;0;0
"Diemen";384;"Diemen";30780;"10-06-2020";"23-06-2020";1;3,2;0;0;0;0
"Dinkelland";1774;"Dinkelland";26461;"10-06-2020";"23-06-2020";0;0;0;0;0;0
"Doesburg";221;"Doesburg";11077;"10-06-2020";"23-06-2020";0;0;0;0;0;0
"Doetinchem";222;"Doetinchem";58001;"10-06-2020";"23-06-2020";2;3,4;0;0;0;0
"Dongen";766;"Dongen";26222;"10-06-2020";"23-06-2020";1;3,8;0;0;0;0
"Dordrecht";505;"Dordrecht";119284;"10-06-2020";"23-06-2020";16;13,4;1;0,8;2;1,7
