"Gemeente";"Gemnr";"Gemeente";"Bev_2020";"van_datum";"tot_datum";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"Aa en Hunze";1680;"Aa en Hunze";25445;"01-04-2020";"14-04-2020";6;23,6;0;0;0;0
"Aalsmeer";358;"Aalsmeer";31859;"01-04-2020";"14-04-2020";10;31,4;4;12,6;0;0
"Aalten";197;"Aalten";27121;"01-04-2020";"14-04-2020";20;73,7;2;7,4;2;7,4
"Achtkarspelen";59;"Achtkarspelen";27843;"01-04-2020";"14-04-2020";3;10,8;0;0;0;0
"Alblasserdam";482;"Alblasserdam";20165;"01-04-2020";"14-04-2020";15;74,4;2;9,9;1;5
"Albrandswaard";613;"Albrandswaard";25590;"01-04-2020";"14-04-2020";28;109,4;4;15,6;2;7,8
"Alkmaar";361;"Alkmaar";109436;"01-04-2020";"14-04-2020";114;104,2;15;13,7;14;12,8
"Almelo";141;"Almelo";73107;"01-04-2020";"14-04-2020";42;57,5;7;9,6;2;2,7
"Almere";34;"Almere";211893;"01-04-2020";"14-04-2020";95;44,8;35;16,5;5;2,4
"Alphen aan den Rijn";484;"Alphen aan den Rijn";111897;"01-04-2020";"14-04-2020";52;46,5;16;14,3;10;8,9
"Alphen-Chaam";1723;"Alphen-Chaam";10203;"01-04-2020";"14-04-2020";11;107,8;3;29,4;0;0
"Altena";1959;"Altena";55967;"01-04-2020";"14-04-2020";36;64,3;7;12,5;8;14,3
"Ameland";60;"Ameland";3716;"01-04-2020";"14-04-2020";0;0;0;0;0;0
"Amersfoort";307;"Amersfoort";157276;"01-04-2020";"14-04-2020";58;36,9;18;11,4;7;4,5
"Amstelveen";362;"Amstelveen";91675;"01-04-2020";"14-04-2020";108;117,8;17;18,5;23;25,1
"Amsterdam";363;"Amsterdam";872757;"01-04-2020";"14-04-2020";596;68,3;183;21;83;9,5
"Apeldoorn";200;"Apeldoorn";163818;"01-04-2020";"14-04-2020";123;75,1;26;15,9;22;13,4
"Appingedam";3;"Appingedam";11642;"01-04-2020";"14-04-2020";1;8,6;1;8,6;0;0
"Arnhem";202;"Arnhem";161348;"01-04-2020";"14-04-2020";107;66,3;18;11,2;12;7,4
"Assen";106;"Assen";68599;"01-04-2020";"14-04-2020";15;21,9;3;4,4;0;0
"Asten";743;"Asten";16721;"01-04-2020";"14-04-2020";30;179,4;8;47,8;4;23,9
"Baarle-Nassau";744;"Baarle-Nassau";6859;"01-04-2020";"14-04-2020";3;43,7;0;0;0;0
"Baarn";308;"Baarn";24868;"01-04-2020";"14-04-2020";17;68,4;3;12,1;3;12,1
"Barendrecht";489;"Barendrecht";48714;"01-04-2020";"14-04-2020";38;78;11;22,6;4;8,2
"Barneveld";203;"Barneveld";59082;"01-04-2020";"14-04-2020";46;77,9;5;8,5;3;5,1
"Beek";888;"Beek";15865;"01-04-2020";"14-04-2020";10;63;4;25,2;2;12,6
"Beekdaelen";1954;"Beekdaelen";35938;"01-04-2020";"14-04-2020";40;111,3;11;30,6;10;27,8
"Beemster";370;"Beemster";10022;"01-04-2020";"14-04-2020";2;20;1;10;0;0
"Beesel";889;"Beesel";13482;"01-04-2020";"14-04-2020";17;126,1;9;66,8;4;29,7
"Berg en Dal";1945;"Berg en Dal";34992;"01-04-2020";"14-04-2020";48;137,2;9;25,7;7;20
